KEY_TO_RAW,HIGHER_GEOG,municipality
2 mi W of Winnetka,"North America, United States, Illinois, Cook County",Winnetka
3/4 miles east of St. Germain River,"North America, United States, Wisconsin, Vilas County",Saint Germain
"3000m, Nevadas [Los Nevados], Venezuela","South America, Venezuela",Nevadas
"3017 W. George St., Chicago, Illinois","North America, United States, Illinois, Cook County",Chicago
"3056 N Honore St, Chicago, IL 60657","North America, United States, Illinois, Cook County",Chicago
"30 mi. S.E. of Durango, alt. 8000ft","North America, Mexico, Durango",Durango
30 mi. South of Woodlake,"North America, United States, Nebraska, Cherry County",Wood Lake
"30 mi inland (island?); Barrow, Alaska","North America, United States, Alaska","North Slope Borough, Barrow"
30 miles from Denver,"North America, United States, Colorado, Denver County",Denver
30 miles S. West Durango; Alt. 8000',"North America, Mexico, Durango",Durango
30 miles south of Wood Lake,"North America, United States, Nebraska, Cherry County",Wood Lake
"30 miles southwest Durangeo, elevation 8000 ft","North America, Mexico, Durango",Durango
"30 miles southwest of Durango, alt. 8000', Mexico","North America, Mexico, Durango",Durango
30 miles west of High River,"North America, Canada, Alberta, Calgary Region",High River
"30 miles west of Highwood River, alt. 4,450'.  Canada: Alberta","North America, Canada, Alberta, Calgary Region",High River
30 mi NE Nester Falls,"North America, Canada, Ontario",Sioux Narrows-Nestor Falls
30mi S,"North America, United States, Nebraska, Cherry County",Wood Lake
"30 mi SW of Durango, alt. 8000'","North America, Mexico, Durango",Durango
"30mi SW of Durango, alt 8000 ft","North America, Mexico, Durango",Durango
30mi W of Vera Beach,"North America, United States, Florida, Indian River County",Vero Beach
"31 mi W of W high River, alt 4500'","North America, Canada, Alberta, Calgary Region",High River
"31st [Street] and Wolf [Road], Westchester, IL","North America, United States, Illinois, Cook County",Westchester
"32 miles, W High River, Alt. 4450 ft","North America, Canada, Alberta, Calgary Region",High River
32 miles west of High River,"North America, Canada, Alberta, Calgary Region",High River
"32 miles west of High River, alt. 4,500 feet, Canada: Alberta","North America, Canada, Alberta, Calgary Region",High River
"32 miles west of High River, alt. 4500'.  Canada: Alberta","North America, Canada, Alberta, Calgary Region",High River
"32 mi W. High River, Alt 4500'","North America, Canada, Alberta, Calgary Region",High River
32mi W High River,"North America, Canada, Alberta, Calgary Region",High River
32 mi W High River,"North America, Canada, Alberta, Calgary Region",High River
"32 mi W High River, 4500' alt.","North America, Canada, Alberta, Calgary Region",High River
"32 mi W High River, Alberta, Can.","North America, Canada, Alberta, Calgary Region",High River
"32 mi W High River, alt. 4400'","North America, Canada, Alberta, Calgary Region",High River
"32mi W High River, alt. 4500'","North America, Canada, Alberta, Calgary Region",High River
"32 mi W High River, alt. 4500'","North America, Canada, Alberta, Calgary Region",High River
32mi W High River; alt. 4500 ft,"North America, Canada, Alberta, Calgary Region",High River
"33 miles, W High River, Alt. 4400 ft","North America, Canada, Alberta, Calgary Region",High River
"33 miles west of High River, alt. 4,450 (feet)","North America, Canada, Alberta, Calgary Region",High River
"33 mi W High River, Alberta, Can.","North America, Canada, Alberta, Calgary Region",High River
33mi W High River; alt 4450 Ft,"North America, Canada, Alberta, Calgary Region",High River
33mi W High River Alt. 4450,"North America, Canada, Alberta, Calgary Region",High River
