AGENT_TYPE,PREFERRED NAME,PREFERRED 1,PREFERRED 2,PREFERRED 3,PREFERRED 4,PREFERRED 5,MERGE_FORMAT,ORIGINAL_SPLIT,UNSPLIT
person,Karl W. Kahmann,,,,,,K. Kahmann,K. Kahmann,K. Kahmann
person,Karl W. Kahmann,,,,,,K. W. Kahmann,K.W. Kahmann,K.W. Kahmann
person,Karl W. Kahmann,,,,,,Karl Kahman,Karl Kahman,Karl Kahman
person,Karl W. Kahmann,,,,,,Karl Kahmann,Karl Kahmann,Karl Kahmann
person,Karl W. Kahmann,,,,,,Karl W. Kahmann,Karl W. Kahmann,Karl W. Kahmann
person,Karl W. Kahmann,,,,,,K.W. Kahmann,Karl W. Kahmann K.W. Kahmann,Karl W. Kahmann K.W. Kahmann
person,Karl W. Kahmann,,,,,,Karl W. Kahmann,Karl W Kahmann,Karl W Kahmann
person,Karolyn Norton,,,,,,Karolyn Norton,Karolyn Norton,Karolyn Norton
person,Kate N. Doggett,,,,,,Mrs. Kate N. Doggett,Mrs. Kate N. Doggett,Mrs. Kate N. Doggett
person,Katherine Gillig,,,,,,Katherine Gillig,Katherine Gillig,Katherine Gillig
person,Kathrine Johnson,,,,,,Kathrine Johnson,Kathrine Johnson,Kathrine Johnson
person,Kathryn Gloyd,,,,,,K. Gloyd,K. Gloyd,K. Gloyd
person,Kathryn Gloyd,,,,,,Kathryn Gloyd,Kathryn Gloyd,Kathryn Gloyd
person,Kathryn Olmstead,,,,,,K. Olmstead,K. Olmstead,K. Olmstead
person,Kathryn Olmstead,,,,,,Kathryn Olmstead,Kathryn Olmstead,Kathryn Olmstead
person,Kathryn Stephenson,,,,,,K. Stephenson,K. Stephenson,K. Stephenson
person,Kathryn Stephenson,,,,,,Kathryn Stephenson,Kathryn Stephenson,Kathryn Stephenson
person,Katie Lehrman,,,,,,Katie Lehrman,Katie Lehrman,Katie Lehrman
person,Katie McComas,,,,,,Katie McComas,Katie McComas,AMBIGUOUS
person,Katie McComas,,,,,,K. McComas,K. McComas,K. McComas
person,Katie McComas,,,,,,Katie McComas,Katie McComas,Katie McComas
person,Katie McComas,,,,,,Katie McComas,Katie McComas,"Katie McComas, 2010"
person,Keneth Houde,,,,,,Keneth Hovde Houde,Keneth Hovde Houde,Keneth Hovde Houde
person,Keneth Houde,,,,,,K. Houde,K Houde,K Houde
organization,Kennecott Copper Corporation,,,,,,Kennecott Copper Corporation,Kennecott Copper Corporation,AMBIGUOUS
organization,Kennecott Copper Corporation,,,,,,Kennecott Copper Corporation,Kennecott Copper Corporation,"Chino Mines Division, Kennecott Copper Corporation"
organization,Kennecott Copper Corporation,,,,,,Kennecott Copper Corporation,Kennecott Copper Corporation,"John S. Vanderpole, Nevada Mines Division, Kennecott Copper Corporation"
organization,Kennecott Copper Corporation,,,,,,Kennecott Copper Corporation,Kennecott Copper Corporation,"John S. Vanderpole - Nevada Mines Division, Kennecott Copper Corporation"
organization,Kennecott Copper Corporation,,,,,,Kennecott Copper Corporation,Kennecott Copper Corp.,Kennecott Copper Corp.
organization,Kennecott Copper Corporation,,,,,,Kennecott Copper Corporation,Kennecott Copper Corporation,Kennecott Copper Corporation
organization,Kennecott Copper Corporation,,,,,,Kennecott Copper Corporation,Kennecott Copper Corporation,"Nevada Mines Division, Kennecott Copper Corporation"
organization,Kennecott Copper Corporation,,,,,,Kennecott Copper Corporation,Kennecott Copper Corp.,"Ray Mines Division, Kennecott Copper Corp."
organization,Kennecott Copper Corporation,,,,,,Kennecott Copper Corporation,Kennecott Copper Corp.,"Utah Copper Division, Kennecott Copper Corp."
organization,Kennecott Copper Corporation,,,,,,Kennecott Utah Copper Corporation,Utah Copper Division,"Utah Copper Division, Kennecott Copper Corp."
organization,Kennecott Copper Corporation,,,,,,Kennecott Utah Copper Corporation,Utah Copper Division - Kennecott Copper Corporation,Utah Copper Division - Kennecott Copper Corporation
person,Kenneth Horde,,,,,,Kenneth Horde,Kenneth Horde,Kenneth Horde
person,Kenneth P. Becker,,,,,,Kenneth P. Becker Jr.,Kenneth P. Becker Jr,"Kenneth P. Becker, Jr."
person,Kenneth R. Coe,,,,,,Kenneth R. Coe,Kenneth R. Coe,Kenneth R. Coe
person,Kenneth Roden,,,,,,Kenneth Roden,Kenneth Roden,Kenneth Roden
person,Kenneth Roden,,,,,,K. Roden,K Roden,K Roden
person,Ken Sterner,,,,,,Ken Sterner,Ken Sterner,AMBIGUOUS
person,Ken Sterner,,,,,,Ken Sterner,Ken Sterner,"Ken Sterner, Peregrine Fund"
organization,Ken Sterner,,,,,,Peregrine Fund,Peregrine Fund,"Ken Sterner, Peregrine Fund"
person,Ken Sterner,,,,,,Ken Sterner,Ken Sterner,"Northwestern University Collection, Ken Sterner, Peregrine Fund"
organization,Ken Sterner,,,,,,Northwestern University,Northwestern University Collection,"Northwestern University Collection, Ken Sterner, Peregrine Fund"
organization,Ken Sterner,,,,,,Peregrine Fund,Peregrine Fund,"Northwestern University Collection, Ken Sterner, Peregrine Fund"
organization,Kentucky Geological Survey,,,,,,Kentucky Geological Survey,Kentucky Geological Survey,"Kentucky Geological Survey, University of Kentucky"
organization,Kentucky Geological Survey,,,,,,Kentucky Geological Survey,Kentucky Geological Survey,Preston McGrain - Kentucky Geological Survey
person,Kermit B. Cavedo,,,,,,Kermit B. Cavedo,Kermit B. Cavedo,Kermit B. Cavedo
person,Kermit B. Cavedo,,,,,,Kermit B. Cavedo,Kermit B. Cavedo,Kermit B. Cavedo - Luray Caverns Corporation
person,Keturah Lynn,,,,,,Keturah Lynn,Keturah Lynn,Keturah Lynn
person,Kevin Cummings,,,,,,Kevin Cummings,Kevin Cummings,Kevin Cummings
person,Kevin Royt,,,,,,K. Royt,K. Royt,K. Royt
organization,Keystone View Company,,,,,,Keystone View Company,Keystone View Co.,Keystone View Co.
organization,Keystone View Company,,,,,,Keystone View Company,Keystone View Company,Keystone View Company
person,Kilburn Brothers,,,,,,Kilburn Brothers,Kilburn Brothers,Kilburn Brothers
person,Kimberly Fronk,,,,,,Kimberly Fronk,Kimberly Fronk,Kimberly Fronk
organization,Kinfolks Incorporated,,,,,,Kinfolks Incorporated,Kinfolks Inc.,Kinfolks Inc.
person,Kinji Hatashi,,,,,,Kinji Hatashi,Kinji Hatashi,Kinji Hatashi
person,Kirk Meadowcroft,,,,,,Kirk Meadowcroft,Kirk Meadowcroft,Kirk Meadowcroft
organization,Kiser Photo Company,,,,,,Kiser Photo Company,Kiser Photo Co.,Kiser Photo Co.
organization,Knickerbocker School,,,,,,Knickerbocker School,Knickerbocker School,Knickerbocker School
organization,KNY Scheerer Company,,,,,,KNY Scheerer Company,Kny-Scheerer Co.,Kny-Scheerer Co.
organization,KNY Scheerer Company,,,,,,KNY Scheerer Company,Kny Scheerer Co.,"Kny Scheerer Co., New York City"
organization,KNY Scheerer Company,,,,,,KNY Scheerer Company,Kny Scheerer Company New York City,Kny Scheerer Company New York City
organization,KNY Scheerer Company,,,,,,KNY-Scheerer Company,The Kny-Scheerer Co.,"The Kny-Scheerer Co., Dept. of Natural Sciences"
organization,Kodak,,,,,,Kodak,Kodak,AMBIGUOUS
organization,Kodak,,,,,,Kodak,Kodak,Kodak
organization,Kodak,,,,,,Kodak,Kodak,Tiffen; Kodak
person,Kristi Backe,,,,,,Kristi Backe,Kristi Backe,AMBIGUOUS
organization,Kristi Backe,,,,,,Los Angeles Museum,Los Angeles Museum,AMBIGUOUS
person,Kristi Backe,,,,,,Lt W. H. Wilhelm,Lt W H Wilhelm,AMBIGUOUS
person,Kristi Backe,,,,,,Lt. G. K. Warren,Lt. G.K. Warren,AMBIGUOUS
person,Kristi Backe,,,,,,Lt. L. R. Wolfe,Lt. L.R. Wolfe,AMBIGUOUS
person,Kristi Backe,,,,,,Kristi Backe,Kristi Backe,"Kristi Backe, Education"
organization,Kristi Backe,,,,,,Chicago Academy of Sciences,CAS-PNNM,"Kristi Backe, Education, CAS-PNNM"
person,Kristi Backe,,,,,,Kristi Backe,Kristi Backe,"Kristi Backe, Education, CAS-PNNM"
organization,Krupnik Manufacturing Company,,,,,,Krupnik Manufacturing Company,Krupnik MFG. Co.,Krupnik MFG. Co.
organization,Kurtis Productions Limited,,,,,,Kurtis Productions Limited,Kurtis Productions Ltd.,"Kurtis Productions, Ltd. And WTTW/Chicago"
person,L. A. Dennary,,,,,,L. A. Dennary,L.A. Dennary,L.A. Dennary
person,L. A. Druehl,,,,,,L. A. Druehl,L.A. Druehl,L.A. Druehl
person,L. A. Faulkner,,,,,,Dr. L. A. Faulkner,Dr. L.A. Faulkner,Dr. L.A. Faulkner
person,L. A. Faulkner,,,,,,L. A. Faulkner,L.A. Faulkner,L.A. Faulkner
person,L. Adams,,,,,,L. Adams,L. Adams,L. Adams
person,L. B. Case,,,,,,L. B. Case,L.B. Case,L.B. Case
person,L. B. Case,,,,,,L. B. Case,L. B. Case,L. B. Case
person,L. B. Case,,,,,,L.B. Case,L.B. Case Collection,L.B. Case Collection
person,L. B. Case,,,,,,L. B. Case,L.B Case,L.B Case
person,L. B. Case,,,,,,Mr. L. B. Case,Mr. L.B. Case,Mr. L.B. Case
person,L. B. Gallaher,,,,,,L. B. Gallaher,L B Gallaher,L B Gallaher
person,L. Bedding,,,,,,L. Bedding,L. Bedding,L. Bedding
person,L. Bell,,,,,,L. Bell,L Bell,L Bell
person,L. Berman,,,,,,L. Berman,L. Berman and Son,L. Berman and Son
person,L. Bourland,,,,,,L. Bourland,L. Bourland,L. Bourland
person,Leonard Boyles,,,,,,L. Boyles,L Boyles,L Boyles
person,L. Bristol,,,,,,L. Bristol,L. Bristol,L. Bristol
person,L. Brodie,,,,,,L. Brodie,L. Brodie,L. Brodie
person,L. Brodie,,,,,,L. Brodie,L Brodie,L Brodie
person,L. Bromrest,,,,,,L. Bromrest,L. Bromrest,"L. Bromrest unclear-men, maybe?"
person,L. C. Bruchner,,,,,,L. C. Bruchner,L.C. Bruchner,L.C. Bruchner
person,L. C. Clark,,,,,,Mr. L. C. Clark,Mr. L.C. Clark,Mr. L.C. Clark
person,L. C. Cole,,,,,,L. C. Cole,L C Cole,L C Cole
person,L. C. Haskins,,,,,,L. C. Haskins,L.C. Haskins,L.C. Haskins
person,L. C. Haskins,,,,,,L. C. Haskins,L C Haskins,L C Haskins
person,L. C. Sanford,,,,,,L. C. Sanford,L.C. Sanford,L.C. Sanford
person,L. C. Truman,,,,,,L. C. Truman,L.C. Truman,L.C. Truman
person,L. Chastain,,,,,,L. Chastain,L. Chastain,L. Chastain
person,L. Curtis,,,,,,L. Curtis,L Curtis,L Curtis
person,L. D. Quinn,,,,,,L. D. Quinn,L D Quinn,L D Quinn
person,L. D. Stair,,,,,,L. D. Stair,L.D. Stair,L.D. Stair
person,L. D. Wolfe,,,,,,Captain L.D. Wolfe,Exch. Capt. L.R. Wolfe,Exch. Capt. L.R. Wolfe
person,L. Daet,,,,,,L. Daet,L. Daet,L. Daet
person,L. E. Daniels,,,,,,L. E. Daniels,L.E. Daniels,AMBIGUOUS
person,L. E. Daniels,,,,,,L. E. Daniels,L.E.Daniels,L.E.Daniels
person,L. E. Daniels,,,,,,L. E. Daniels,L.E. Daniels,L.E. Daniels
person,L. E. Daniels,,,,,,L. E. Daniels,L. E. Daniels,L. E. Daniels
person,L. E. Daniels,,,,,,L. E. Daniels,L.E. Daniels,L.E. Daniels may be collector; label does not specify
person,L. E. Daniels,,,,,,L. E. Daniels,L.E Daniels,L.E Daniels
person,L. E. Daniels,,,,,,L. E. Daniels,L E Daniels,L E Daniels
person,L. E. Thatcher,,,,,,L. E. Thatcher,L E Thatcher,L E Thatcher
person,L. E. Whitney,,,,,,L. E. Whitney,L.E. Whitney,L.E. Whitney
person,L. E. Wyman,,,,,,L. E. W. ,L.E.W.,L.E.W.
person,L. E. Wyman,,,,,,L. E. Wyman,L.E. Wyman,L.E. Wyman
person,L. E. Wyman,,,,,,L. E. Wyman,L E Wyman,L E Wyman
person,L. Ernest Marceau,,,,,,L. Ernest Marceau,L. Ernest Marceau,L. Ernest Marceau
person,L. F. Deardorff & Sons,,,,,,L. F. Deardorff & Sons,L.F. Deardorff & Sons,L.F. Deardorff & Sons
person,L. F. Frechin,,,,,,L. F. Frechin,L. F. Frechin,L. F. Frechin
person,L. Frank,,,,,,L. Frank,L Frank,L Frank
person,L. Frank,,,,,,Mr. L. Frank,Mr. L. Frank,Mr. L. Frank
person,L. G. Browman,,,,,,L. G. Browman,L.G. Browman,L.G. Browman
person,L. G. Browman,,,,,,L. G. Browman,L G Browman,L G Browman
person,L. G. Gentner,,,,,,L. G. Gentner,L. G. Gentner,L. G. Gentner
person,L. G. Kurze,,,,,,L. G. Kurze,L.G. Kurze,L.G. Kurze
person,L. G. Mead,,,,,,L. G. Mead,L.G. Mead,L.G. Mead
person,L. G. Miller,,,,,,L. G. Miller,L.G. Miller,L.G. Miller
person,L. G. Miller,,,,,,L. G. Miller,L G Miller,L G Miller
person,L. G. Rubin,,,,,,L. G. Rubin,L.G. Rubin,L.G. Rubin
person,L. H. Cook,,,,,,L. H. Cook,L H Cook,L H Cook
person,L. H. Ford,,,,,,L. H. Ford,L.H. Ford,L.H. Ford
person,L. H. Schulte,,,,,,L. H. Schulte,L H Schulte,L H Schulte
person,L. H. Seaman,,,,,,L. H. Seaman,L.H. Seaman,L.H. Seaman
person,L. H. Seaman,,,,,,L. H. Seaman,L H Seaman,L H Seaman
person,L. Harris,,,,,,L. Harris Jr. ,L. Harris Jr.,L. Harris Jr.
person,L. Hillman,,,,,,L. Hillman,L. Hillman,L. Hillman
person,L. Huey,,,,,,L. Huey,L. Huey,L. Huey
person,L. I. Hewes,,,,,,L. I. Hewes,L.I. Hewes,L.I. Hewes
person,L. J. Hersey,,,,,,L. J. Hersey,L.J. Hersey,AMBIGUOUS
person,L. J. Hersey,,,,,,L. J. Hersey,L.J. Hersey,L.J. Hersey
organization,L. J. Hersey,,,,,,Colorado Museum of Natural History,Colorado Museum of Natural History,L.J. Hersey/Colorado Museum of Natural History
person,L. J. Hersey,,,,,,L. J. Hersey,L.J. Hersey,L.J. Hersey/Colorado Museum of Natural History
person,L. J. Hooper,,,,,,Dr. L. J. Hooper,Dr. L.J. Hooper,Dr. L.J. Hooper
person,L. J. Leon,,,,,,L. J. Leon,L.J. Leon,L.J. Leon
person,L. J. Maki,,,,,,L. J. Maki,L.J. Maki,AMBIGUOUS
person,L. J. Maki,,,,,,L. J. Maki,L.J. Maki,L.J. Maki
person,L. J. Maki,,,,,,L. J. Maki,L.J. Maki,"L.J. Maki, Staff Geologist"
person,L. J. Maki,,,,,,L. J. Maki,L. J. Maki,L.J. Maki - Homestake Mining Company
person,L. J. McCormick,,,,,,L. J. McCormick,L.J. McCormick,L.J. McCormick
person,L. J. Stevens,,,,,,L. J. Stevens,L J Stevens,L J Stevens
person,L. J. Wurtz,,,,,,L. J. Wurtz,L.J. Wurtz,L.J. Wurtz
person,L. J. Xantus de Vesey,,,,,,L. J. X. de Vesey,L. J. X. de Vesey,L. J. X. de Vesey
person,L. J. Xantus de Vesey,,,,,,L. J. Xantus de Vesey,L.J. Xantus de Vesey,L.J. Xantus de Vesey
person,L. K. Langhorne,,,,,,L. K. Langhorne,L.K. Langhorne,L.K. Langhorne
person,L. K. Wyant,,,,,,L. K. Wyant,L. K. Wyant,L. K. Wyant
person,L. Kumlien,,,,,,L. Kumlien,L. Kumlien,L. Kumlien
person,L. L. Snyder,,,,,,L. L. Snyder,L.L. Snyder,L.L. Snyder
person,L. L. Snyder,,,,,,L. L. Snyder,L L Snyder,L L Snyder
person,L. Larsen,,,,,,L. Larsen,L. Larsen,L. Larsen
person,L. Legit,,,,,,L. Legit,L. Legit,L. Legit
person,L. M. Eastman,,,,,,Dr. L. M. Eastman,Dr. L.M. Eastman,Dr. L.M. Eastman
person,L. M. Huey,,,,,,L. M. Huey,L M Huey,L M Huey
person,L. M. Humphrey,,,,,,L. M. Humphrey,L M Humphrey,L M Humphrey
person,L. M. Turner,,,,,,L. M. Turner,L M Turner,L M Turner
person,L. M. Umbach,,,,,,L. M. Umbach,L.M. Umbach,L.M. Umbach
person,L. M. Umbach,,,,,,L. M. Umbach,L. M. Umbach,L. M. Umbach
person,L. M. Umbach,,,,,,L.M. Umbach,Prof. L.M. Umbach,Prof. L.M. Umbach
person,L. Manasse,,,,,,L. Manasse,L. Manasse,L. Manasse
person,L. Meander,,,,,,L. Meander,L.Meander,L.Meander
person,L. Meander,,,,,,L. Meander,L. Meander,L. Meander
person,L. Melander,,,,,,L. Melander,L.Melander,L.Melander
person,L. Melander,,,,,,L. Melander,L. Melander,L. Melander
person,L. Melaner,,,,,,L. Melaner,L. Melaner,L. Melaner
person,L. Miller,,,,,,L. Miller,L. Miller,L. Miller; R. Angkuw
person,L. Miller,,,,,,L. Miller,L Miller,L Miller
person,L. O. Goddard,,,,,,L. O. Goddard,L.O. Goddard,L.O. Goddard
person,L. O. Goddard,,,,,,L. O. Goddard,L.O Goddard,L.O Goddard
person,Lyman O. Tomlinson,,,,,,L. O. Tomlinson,L.O. Tomlinson,L.O. Tomlinson
person,Lyman O. Tomlinson,,,,,,L. O. Tomlinson,L O Tomlinson,L O Tomlinson
person,L. P. Bush,,,,,,L. P. Bush,L.P. Bush,L.P. Bush
person,L. P. Bush,,,,,,L. P. Bush,L. P. Bush,L.P. Bush - International Salt Company
person,L. P. Comm,,,,,,L. P. Comm,L.P. Comm,L.P. Comm
person,L. P. Crater,,,,,,L. P. Crater,L.P. Crater,L.P. Crater
person,L. P. Crater,,,,,,L. P. Crater,L P Crater,L P Crater
person,L. P. May,,,,,,L. P. May,L.P. May,L.P. May
person,L. P. Woods,,,,,,L. P. Woods,L P Woods,L P Woods
person,L. R. Chapin,,,,,,L. R. Chapin,L.R. Chapin,L.R. Chapin
person,L. R. Hersey,,,,,,L. R. Hersey,L.R. Hersey,L.R. Hersey
person,L. R. Wessen,,,,,,L. R. Wessen,L.R. Wessen,L.R. Wessen
person,L. R. Wolfe,,,,,,L. R. Wolfe,L.R. Wolfe,AMBIGUOUS
person,L. R. Wolfe,,,,,,L.R. Wolfe,By exch. L.R. Wolfe,By exch. L.R. Wolfe
person,L. R. Wolfe,,,,,,Captain L.R. Wolfe,Capt. L.R. Wolfe,Capt. L.R. Wolfe
person,L. R. Wolfe,,,,,,Captain L. R. Wolfe,Captain L.R. Wolfe,Captain L.R. Wolfe
person,L. R. Wolfe,,,,,,Captain L. R. Wolfe,Captain L. R. Wolfe,Captain L.R. Wolfe for E.R. Ford
person,L. R. Wolfe,,,,,,L. R. Wolfe,L. R. Wolfe,Ex. E.R. Ford for L.R. Wolfe
person,L. R. Wolfe,,,,,,L.R. Wolfe,Ex. L.R. Wolfe,Ex. L.R. Wolfe
person,L. R. Wolfe,,,,,,L. R. Wolfe,L. R. Wolfe,for L.R. Wolfe E.R. Ford exch.
person,L. R. Wolfe,,,,,,L. R. Wolfe,L.R. Wolfe,L.R. Wolfe
person,L. R. Wolfe,,,,,,L. R. Wolfe,L. R. Wolfe,L.R. Wolfe by exchange E.R. Ford
person,L. R. Wolfe,,,,,,Lieutenant L.R. Wolfe,Lieut. L.R. Wolfe,Lieut. L.R. Wolfe
person,L. R. Wolfe,,,,,,Lieutenant L.R. Wolfe,Lt. L.R. Wolfe,Lt. L.R. Wolfe
person,L. R. Wolfe,,,,,,Lieutenant L R Wolfe,Lt L R Wolfe,Lt L R Wolfe
person,L. Richter,,,,,,L. Richter,L. Richter,L. Richter
person,L. Riggs,,,,,,L. Riggs,L Riggs,L Riggs
person,L. S. Frierson,,,,,,L. S. Frierson,L S Frierson,L S Frierson
person,L. S. Haskins,,,,,,L. S. Haskins,L S Haskins,L S Haskins
person,L. S. Horton,,,,,,L. S. Horton,L.S. Horton,L.S. Horton
person,L. S. Pyle,,,,,,L. S. Pyle,L.S. Pyle,L.S. Pyle
person,L. Sielski,,,,,,L. Sielski,L. Sielski,L. Sielski
person,L. Stone,,,,,,L. Stone,L. Stone,L. Stone
person,L. Talbert,,,,,,L. Talbert,L Talbert,L Talbert
person,L. Thomas,,,,,,Miss L. Thomas,Miss L. Thomas,Miss L. Thomas
person,L. Troup,,,,,,L. Troup,L. Troup,L. Troup
person,L. W. Brownell,,,,,,L. W. Brownell,L.W. Brownell,L.W. Brownell
person,L. W. Klett,,,,,,L. W. Klett,L.W. Klett,L.W. Klett
person,L. W. Ramsey,,,,,,L. W. Ramsey,L W Ramsey,AMBIGUOUS
person,L. W. Ramsey,,,,,,L. W. Ramsey,L.W. Ramsey,L.W. Ramsey
person,L. W. Ramsey,,,,,,L. W. Ramsey,L W Ramsey,L W Ramsey
person,L. W. Ramsey,,,,,,L W Ramsey,L W Ramsey et al,L W Ramsey et al
person,L. W. Uuttall,,,,,,L. W. Uuttall,L.W. Uuttall,L.W. Uuttall
person,L. Wikiel,,,,,,L. Wikiel,L. Wikiel,L. Wikiel
person,L. Wilkiel,,,,,,L. Wilkiel,L.Wilkiel,L.Wilkiel
person,L. Woodruff,,,,,,L. Woodruff,L. Woodruff,L. Woodruff
person,L. Woodruff,,,,,,L. Woodruff,L Woodruff,L Woodruff
person,Lacy Overman,,,,,,Lacy Overman,Lacy Overman,Lacy Overman
person,Lada Seski,,,,,,L. Seski,L. Seski,L. Seski
person,Lada Seski,,,,,,Lada Seski,Lada Seski,Lada Seski
organization,Lake Forest College,,,,,,Lake Forest College,Lake Forest College,AMBIGUOUS
organization,Lake Forest College,,,,,,Lake Forest College,Lake Forest College,Lake Forest College
organization,Lake Forest College,,,,,,Lake Forest College,Lake Forest College,"President, Lake Forest College"
organization,Lakeside Press,,,,,,Lakeside Press,The Lakeside Press,"The Lakeside Press, R.R. Donnelley & Sons Company"
person,Lalaynia Goldsberry,,,,,,L. Goldsberry,L. Goldsberry,L. Goldsberry
organization,Lane Technical High School,,,,,,Lane Technical High School,Lane Tech School - city,Lane Tech School - city
person,Langdon Hoyt,,,,,,Langdon Hoyt,Langdon Hoyt,Langdon Hoyt
person,Larry Hobson,,,,,,L. Hobson,L Hobson,L Hobson & Gus
person,Larry Ihnatiuk,,,,,,Larry Ihnatiuk,Larry Ihnatiuk,Larry Ihnatiuk
person,Larry N. Stout,,,,,,Larry N. Stout,Larry N. Stout,Larry N. Stout
person,Larry N. Stout,,,,,,Larry N. Stout,Larry N. Stout,Larry N. Stout - Division of Geological Survey
organization,LaSalle School,,,,,,LaSalle School,LaSalle School,LaSalle School
person,Laura Brodie,,,,,,Laura Brodie,Laura Brodie,Laura Brodie
person,Laura Constance Pepoon,,,,,,Laura Constance Pepoon,Laura Constance Pepoon,Mrs. Maurice W. Buckley Laura Constance Pepoon
person,Laura Saletta,,,,,,L. Saletta,L. Saletta,L. Saletta
person,Laurence Huey,,,,,,Laurence Huey,Laurence Huey,AMBIGUOUS
person,Laurence Huey,,,,,,Laurence Huey,Laurence Huey,Laurence Huey
person,Laurence Huey Ford,,,,,,L. Huey Ford,L. Huey Ford,L. Huey Ford
person,Laurence Huey Ford,,,,,,Laurence Huey Ford R. D. ,Laurence Huey Ford R.D.,Laurence Huey Ford R.D.
person,Laurence Huey Ford,,,,,,D. R. D.,D. R. D.,Lawrence Huey for D.R.D.
person,Laurence Huey Ford,,,,,,Lawrence Huey,Lawrence Huey,Lawrence Huey for D.R.D.
person,Laurence Keeler,,,,,,Laurence Keeler,Laurence Keeler,Laurence Keeler
person,LaVerne Noyes,,,,,,Mr. LaVerne Noyes,Mr. LaVerne Noyes,Mr. LaVerne Noyes
person,Lawrence Casale,,,,,,Lawrence Casale,Lawrence Casale,Lawrence Casale
person,Lawrence Curtis,,,,,,Lawrence Curtis,Lawrence Curtis,Lawrence Curtis
person,Lawrence Fletcher,,,,,,Lawrence Fletcher,Lawrence Fletcher,Lawrence Fletcher
person,Lawrence Gravel,,,,,,Lawrence Gravel,Lawrence Gravel,Lawrence Gravel
person,Lawrence Lynn,,,,,,Lawrence Lynn,Lawrence Lynn,Lawrence Lynn
person,Lawrence Lyon,,,,,,Lawrence Lyon,Lawrence Lyon,Lawrence Lyon
person,Leander McCormick,,,,,,Leander McCormick,Leander McCormick,Leander McCormick
person,Leander Stone,,,,,,L. Leander Stone,L. Leander Stone,L. Leander Stone
person,Leander Stone,,,,,,Leander Stone,Leander Stone,Leander Stone
person,Leander Stone,,,,,,Mr. Leander Stone,Mr. Leander Stone,Mr. Leander Stone
person,Lech Majewski,,,,,,Lech Majewski,Lech Majewski,Lech Majewski
person,Lee Chambers,,,,,,Lee Chambers,Lee Chambers,Lee Chambers
person,Lee Devore,,,,,,Lee Devore,Lee Devore,Lee Devore
person,Lee Evans,,,,,,Lee Evans,Lee Evans,Lee Evans
person,Lee Forsythe,,,,,,Lee Forsythe,Lee Forsythe,Lee Forsythe
person,Lee M. Talbert,,,,,,L. M. Talbert,L.M. Talbert,L.M. Talbert
person,Lee M. Talbert,,,,,,Lee M. Talbert,Lee M. Talbert,Lee M. Talbert
person,Lee M. Talbert,,,,,,L. M. Talbert,L M Talbert,L M Talbert
person,Lee Okun,,,,,,Lee Okun,Lee Okun,Lee Okun
person,Leg. Torensni,,,,,,Leg. Torensni,Leg. Torensni,Leg. Torensni
organization,Leica,,,,,,Leica,Leica,Leica
organization,Leiden University,,,,,,Leiden University,University of Leiden Leiden University,University of Leiden Leiden University
person,Leland Stanford,,,,,,Leland Stanford Jr.,Leland Stanford Jr,"Leland Stanford Jr, University, col"
organization,Leland Stanford Junior University,,,,,,Leland Stanford Jr. University,Leland Stanford Jr. Univ.,Leland Stanford Jr. Univ.
organization,Leland Stanford Junior University,,,,,,Leland Stanford University,Leland Stanford University,Leland Stanford University
organization,Leland Stanford Junior University,,,,,,Stanford University,Stanford University,Stanford University
person,Lena McCauley,,,,,,Lena McCauley,Lena McCauley,Lena McCauley
person,Lena McCauley,,,,,,Miss Lena McCauley,Miss Lena McCauley,Miss Lena McCauley
person,Leo Camnan,,,,,,Leo Camnan,Leo Camnan,Leo Camnan
person,Leo Camnan,,,,,,Mr. Leo Camnan,Mr. Leo Camnan,Mr. Leo Camnan
person,Leo Canman,,,,,,Leo Canman,Leo Canman,Leo Canman
person,Leonard Boyles,,,,,,Leonard Boyle,Leonard Boyle,Leonard Boyle
person,Leonard Boyles,,,,,,Leonard Boyles,Leonard Boyles,Leonard Boyles
person,Leonard Brown,,,,,,Mr. Leonard Brown,Mr. Leonard Brown,Mr. Leonard Brown CAS Guard
person,Leonard Wells Volk,,,,,,L. W. Volk,L.W. Volk,"L.W. Volk, Sc Leonard Wells Volk"
person,Leonard Wells Volk,,,,,,Leonard Wells Volk,Leonard Wells Volk,"L.W. Volk, Sc Leonard Wells Volk"
person,Leon F. Urbain,,,,,,L. F. Urbain,L.F. Urbain,AMBIGUOUS
person,Leon F. Urbain,,,,,,L. F. Urbain,L.F. Urbain,L.F. Urbain
person,Leon F. Urbain,,,,,,L. F. Urbain,L.F. Urbain,L.F. Urbain / WGN-TV
person,Leon F. Urbain,,,,,,Leon E. Urbain,Leon E Urbain,Leon E Urbain
person,Leon F. Urbain,,,,,,Leon F. Urbain,Leon F. Urbain,Leon F. Urbain
person,Leon F. Urbain,,,,,,Leon Urbain,Leon Urbain,Leon Urbain
person,Leon F. Urbain,,,,,,Mr. Leon Urbain Jr.,Mr. Leon Urbain Jr,"Mr. Leon Urbain, Jr."
person,Leon L. Pray,,,,,,Leon L. Pray,Leon L. Pray,Leon L. Pray
person,Leon L. Walters,,,,,,Leon L. Walters,Leon L. Walters,Leon L. Walters
person,Leonora K. Gloyd,,,,,,L. K. Gloyd,L.K. Gloyd,L.K. Gloyd
