cat num,Collection Number,Accession Number,Number of Specimens,Collection,Phylum,Class,Order,Family,Name: Genus,Name: Species,Name: Subspecies,Name: Author,Identification,Locality,City,County,State,Country,Sex,Age,Received From,Received From (formatted),Collected By,Collected By (formatted),Date of Collection,Date of Collection (formatted),Remarks
14257,,,1,Entomology,-,-,-,-,Euptoieta,claudia,-,Cramer,- - - - Euptoieta claudia -,"Orizaba, Mex. [Mexico]",Orizaba,,Veracruz,Mexico,,,A.S. Bertolet,A. S. Bertolet,A.S. Bertolet,A. S. Bertolet,,,
14258,,,3,Entomology,-,-,-,-,Argynnis,diana,-,Cram. [Cramer],- - - - Argynnis diana -,,,,,,,,George H. Laflin,George H. Laflin,,,,,
14259,,954,2,Entomology,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Speyeria,idalia,-,Drury,Arthropoda Insecta Lepidoptera Nymphalidae Speyeria idalia -,"Ridgeland [Oak Park?], Ill. [Illinois]",,,Illinois,United States of America,male,adult,W.E. Longley,W. E. Longley,W.E. Longley,W. E. Longley,,,
14260,,,2,Entomology,-,-,-,-,Argynnis,leto,-,Bahr [Behr],- - - - Argynnis leto -,"Park City, Utah",Park City,Summit,Utah,United States of America,,,A.J. Snyder,Andrew J. Snyder,A.J. Snyder,Andrew J. Snyder,,,
14261,,,3,Entomology,-,-,-,-,Argynnis,cybele,-,Fabr. [Fabricius],- - - - Argynnis cybele -,Ill. [Illinois],,,Illinois,United States of America,,,Eliot Blackwelder,Eliot Blackwelder,Eliot Blackwelder,Eliot Blackwelder,,,
14262,,,1,Entomology,-,-,-,-,Argynnis,aphrodite,-,Fabr. [Fabricius],- - - - Argynnis aphrodite -,"Maywood, Ill. [Illinois]",Maywood,Cook,Illinois,United States of America,,,O.S. Westcott,Oliver S. Westcott,O.S. Westcott,Oliver S. Westcott,,,
14263,,314,2,Geology,-,-,-,-,Calcite,-,-,,- - - - Calcite - -,"Calumet, Michigan",Calumet,Houghton,Michigan,United States of America,,,E.D. Miller,E. D. Miller,,,,,With Native Copper and Malachite. [Red M next to Museum Number]
14264,,1022,1,Geology,-,-,-,-,Rhodochrosite,-,-,,- - - - Rhodochrosite - -,"Salida, Colorado",Salida,Chaffee,Colorado,United States of America,,,Dr. E.R. Larned,Ezra Read Larned,,,,,With Chalcopyrite. [Red M next to Museum Number]
14265,,1022,1,Geology,-,-,-,-,Ilvaite,-,-,,- - - - Ilvaite - -,Island of Elba,,,Livorno,Italy,,,Dr. E.R. Larned,Ezra Read Larned,,,,,[Red M next to Museum Number]
14266,,1022,1,Geology,-,-,-,-,Talc,-,-,,- - - - Talc - -,"St. Lawrence Co. [County], N.Y. [New York]",,St. Lawrence,New York ,United States of America,,,Dr. E.R. Larned,Ezra Read Larned,,,,,"Pseudomorphous, Rensselaerite. [Red M next to Museum Number]"
14267,,1022,1,Geology,-,-,-,-,Pyroxene,-,-,,- - - - Pyroxene - -,"Oxbon, New York",Antwerp,Jefferson,New York ,United States of America,,,Dr. E.R. Larned,Ezra Read Larned,,,,,Var. Coccolite. [Red M next to Museum Number]
14268,,1022,1,Geology,-,-,-,-,Talc,-,-,,- - - - Talc - -,"Santa Cruz Mts. [Mountains], Cal. [California]",,,California,United States of America,,,Dr. E.R. Larned,Ezra Read Larned,,,,,Var. Steatite. [Red M next to Museum Number]
14269,,1022,1,Geology,-,-,-,-,Pyrolusite,-,-,,- - - - Pyrolusite - -,Michigan,,,Michigan,United States of America,,,Dr. E.R. Larned,Ezra Read Larned,,,,,[Red M next to Museum Number]
14270,,1022,1,Geology,-,-,-,-,Chaleophanite,-,-,,- - - - Chaleophanite - -,"Franklin, New Jersey",Franklin,Sussex,New Jersey,United States of America,,,Dr. E.R. Larned,Ezra Read Larned,,,,,[Red M next to Museum Number]
14271,,1022,1,Geology,Mineral,Silicates,-,Feldspars,Albite,-,-,,Mineral Silicates - Feldspars Albite - -,"Auburn, Maine",Auburn,Androscoggin,Maine,United States of America,,,Dr. E.R. Larned,Ezra Read Larned,,,,,Var. Clevelandite. [Red M next to Museum Number]
14272,,1022,4,Geology,-,-,-,-,Corundum,-,-,,- - - - Corundum - -,Ceylon [Sri Lanka],,,,Sri Lanka,,,Dr. E.R. Larned,Ezra Read Larned,,,,,Var. Sapphire. [Red M next to Museum Number]
14273,,1022,1,Geology,-,-,-,-,Stilpnomelane,-,-,,- - - - Stilpnomelane - -,"Antwerp, New York",Antwerp,Jefferson,New York ,United States of America,,,Dr. E.R. Larned,Ezra Read Larned,,,,,Var. Chalcodite. [Red M next to Museum Number]
14274,,1022,3,Geology,-,-,-,-,Corundum,-,-,,- - - - Corundum - -,Ceylon [Sri Lanka],,,,Sri Lanka,,,Dr. E.R. Larned,Ezra Read Larned,,,,,Var. Oriental Ruby. [Red M next to Museum Number]
14275,,321,3,Geology,-,-,-,-,Cerussite,-,-,,- - - - Cerussite - -,"Waldwick Mine, Wis. [Wisconsin]",Waldwick,Iowa,Wisconsin,United States of America,,,J.W. Foster,J. W. Foster,,,,,Coating Galenite. [Red M next to Museum Number]
14276,,1022,1,Geology,-,-,-,-,Copper,-,-,,- - - - Copper - -,Lake Superior,,,,,,,Dr. E.R. Larned,Ezra Read Larned,,,,,With Calcite. [Red M next to Museum Number]
14277,,1022,1,Geology,-,-,-,-,Zaratite,-,-,,- - - - Zaratite - -,"Texas [New Texas?], Lancaster Co. [County], Penn. [Pennsylvania]",,Lancaster,Pennsylvania,United States of America,,,Dr. E.R. Larned,Ezra Read Larned,,,,,On Chromite. [Red M next to Museum Number]
14278,,1022,1,Geology,-,-,-,-,Stibiconite,-,-,,- - - - Stibiconite - -,Nevada,,,Nevada,United States of America,,,Dr. E.R. Larned,Ezra Read Larned,,,,,[Red M next to Museum Number]
14279,,980,1,Geology,-,-,-,-,Cuprite,-,-,,- - - - Cuprite - -,"Santa Rita, New Mexico",,Grant,New Mexico,United States of America,,,Charles M. Higginson,Charles M. Higginson,,,,,With Native Copper. [Red M next to Museum Number]
14280,,980,1,Geology,-,-,-,-,Cuprite,-,-,,- - - - Cuprite - -,"Santa Rita, New Mexico",,Grant,New Mexico,United States of America,,,Charles M. Higginson,Charles M. Higginson,,,,,[Red M next to Museum Number]
14281,,980,1,Geology,-,-,-,-,Cuprite,-,-,,- - - - Cuprite - -,"Santa Rita, New Mexico",,Grant,New Mexico,United States of America,,,Charles M. Higginson,Charles M. Higginson,,,,,[Red M next to Museum Number]
14282,,980,2,Geology,-,-,-,-,Hematite,-,-,,- - - - Hematite - -,"Santa Rita, New Mexico",,Grant,New Mexico,United States of America,,,Charles M. Higginson,Charles M. Higginson,,,,,With Turgite. [Red M next to Museum Number]
14283,,679,1,Geology,Mineral,Oxides and Hydroxides,-,Manganese,Manganese Ore,-,-,,Mineral Oxides and Hydroxides - Manganese Manganese Ore - -,"Silver City, New Mexico",Silver City,Grant,New Mexico,United States of America,,,Charles M. Higginson,Charles M. Higginson,,,,,[Red M next to Museum Number]
