Catalog Number,Collection Number,Accession Number,Number of Specimens,Collection,Phylum,Class,Order,Family,Name: Genus,Name: Species,Name: Subspecies,Name: Author,Identification,Locality,City,County,State,Country,Sex,Age,Received From,Received From (formatted),Collected By,Collected By (formatted),Date of Collection,Date of Collection (formatted),Remarks
22867,,2501,1,Ornithology,Chordata,Aves,-,-,Progne ,subis,subis ,Linne[Linnaeus],Chordata Aves - - Progne  subis subis ,"Millers, Ind. [Indiana]",Miller,Lake,Illinois,United States of America,male,,Academy Collecting,Chicago Academy of Sciences,F.M. Woodruff,Frank M. Woodruff,5/6/2007,1907-05-06,
22868,,2660,1,Ornithology,Chordata,Aves,-,-,Progne ,subis,subis ,Linne[Linnaeus],Chordata Aves - - Progne  subis subis ,"Hyde Lake, Ills. [Illinois]",,Cook,Illinois,United States of America,female,,Purchased,,F.M. Woodruff,Frank M. Woodruff,2/6/1994,1894-02-06,
22869,,1109,1,Ornithology,Chordata,Aves,-,-,Progne ,subis,subis ,Linne[Linnaeus],Chordata Aves - - Progne  subis subis ,"Grand Crossing, Ills. [Illinois]",,Cook,Illinois,United States of America,male,,Laflin,unknown,F.M. Woodruff,Frank M. Woodruff,7/29/1993,1893-07-29,
22870,,2832,1,Ornithology,Chordata,Aves,-,-,Hirundo,erythrogastra,-,Boddaert,Chordata Aves - - Hirundo erythrogastra -,"Fox Lake, Ills. [Illinois]",Fox Lake,Lake,Illinois,United States of America,male,,Academy Collecting,Chicago Academy of Sciences,F.M. Woodruff,Frank M. Woodruff,9/14/2008,1908-09-14,
22871,,2603,1,Ornithology,Chordata,Aves,-,-,Hirundo,erythrogastra,-,Boddaert,Chordata Aves - - Hirundo erythrogastra -,"Chicago, Ills. [Illinos]",Chicago,Cook,Illinois,United States of America,female,,Academy Collecting,Chicago Academy of Sciences,F.M. Woodruff,Frank M. Woodruff,8/27/2007,1907-08-27,
22872,,2832,1,Ornithology,Chordata,Aves,-,-,Iridoprocne,bicolor,-,Vieillot,Chordata Aves - - Iridoprocne bicolor -,"Fox Lake, Ills. [Illinois]",Fox Lake,Lake,Illinois,United States of America,female,,Academy Collecting,Chicago Academy of Sciences,F.M. Woodruff,Frank M. Woodruff,9/14/2008,1908-09-14,
22873,,2452,1,Ornithology,Chordata,Aves,-,-,Ampelis,cedrorum,-,Vieillot,Chordata Aves - - Ampelis cedrorum -,"Highland Park, Ills. [Illinois]",Highland Park,Lake,Illinois,United States of America,female,,Exchange,,H.K. Coale,Henry K. Coale,9/9/2005,1905-09-09,
22874,,2528,1,Ornithology,Chordata,Aves,-,-,Vireosylva ,gilva,gilva,Vieillot,Chordata Aves - - Vireosylva  gilva gilva,"Fox Lake, Ills. [Illinois]",Fox Lake,Lake,Illinois,United States of America,male,,Academy Collecting,Chicago Academy of Sciences,F.M. Woodruff,Frank M. Woodruff,6/1/2007,1907-06-01,
22875,,2660,1,Ornithology,Chordata,Aves,-,-,Lanius,ludovicianus,excubitorides,Swainson,Chordata Aves - - Lanius ludovicianus excubitorides,Arizona,,,Arizona,United States of America,,,Purchased,,F.M. Woodruff,Frank M. Woodruff,2/6/2004,1904-02-06,Sex missing
22876,,,1,Ornithology,Chordata,Aves,-,-,Nucifrage,columbiana,-,Wilson,Chordata Aves - - Nucifrage columbiana -,,,,,,,immature,,,,,,,Most of record blank
22877,,2660,1,Ornithology,Chordata,Aves,-,-,Nucifrage,columbiana,-,Wilson,Chordata Aves - - Nucifrage columbiana -,"Rowe, N.Mex. [New Mexico]",Rowe,San Miguel,New Mexico,United States of America,male,,Purchased,,,,1/31/1900,1900-01-31,
22878,,,,,-,-,-,-,-,-,-,,- - - - - - -,,,,,,,,,,,,,,record blank
22879,,2660,1,Ornithology,Chordata,Aves,-,-,Aphelocoma ,californica,obscura,Anthony,Chordata Aves - - Aphelocoma  californica obscura,"Nestor, Cala. [California]",San Diego,San Diego,California,United States of America,male,,Purchased,,F.M. Woodruff,Frank M. Woodruff,Jan-01,1901-01,
22880,,2660,1,Ornithology,Chordata,Aves,-,-,Aphelocoma ,woodhouseii,-,Baird,Chordata Aves - - Aphelocoma  woodhouseii -,"Dos Cabezos [Cabezas], Ariz.[Arizona]",Dos Cabezas,Cochise,Arizona,United States of America,,,,,,,,,"Sex,recd,collected,date of collection missing"
22881,,2660,1,Ornithology,Chordata,Aves,Passeriformes,Corvidae,Cyanocitta,stelleri,diademata,(Bonaparte),Chordata Aves Passeriformes Corvidae Cyanocitta stelleri diademata,"Rowe, New Mexico",Rowe,San Miguel,New Mexico,United States of America,male,,Purchased,,,,3-Jan-00,1900-01-03,
22882,,2660,1,Ornithology,Chordata,Aves,Passeriformes,Corvidae,Cyanocitta,stelleri,diademata,(Bonaparte),Chordata Aves Passeriformes Corvidae Cyanocitta stelleri diademata,"Lay, Colo. [Colorado]",Lay,Moffatt,Colorado,United States of America,male,,Purchased,,,,9 May 1891,1891-05-09,
22883,,2633,1,Ornithology,Chordata,Aves,-,-,Perisorens,canadensis,canadensis,(Linnaeus),Chordata Aves - - Perisorens canadensis canadensis,"Heywood, Wis. [Wisconsin]",Heywood,,Wisconsin,United States of America,,,F.L. Peterson,F. L. Peterson,F.L. Peterson,F. L. Peterson,,,"Cannot locate county for Heywood, WI"
22884,,2660,1,Ornithology,Chordata,Aves,-,-,Pinicola,enuncleator,canadensis,(Cabanis),Chordata Aves - - Pinicola enuncleator canadensis,"Beach, Illinois",,,Illinois,United States of America,female,,Purchased,,F.M. Woodruff,Frank M. Woodruff,17-Nov-06,1906-11-17,
22885,,1521,1,Ornithology,Chordata,Aves,Passeriformes,Fringillidae,Loxia,curvisostra,minor,(Brehm),Chordata Aves Passeriformes Fringillidae Loxia curvisostra minor,"Evanston, Ills. [Illinois]",Evanston,Cook,Illinois,United States of America,female,,F.S. Dayton,Francis S. Dayton,F.S. Dayton,Francis S. Dayton,13 Nov 1887,1887-11-13,
