Catalog Number,Collection Number,Accession Number,Number of Specimens,Collection,Phylum,Class,Order,Family,Name: Genus,Name: Species,Name: Subspecies,Name: Author,Identification,Locality,City,County,State,Country,Sex,Age,Received From,Received From (formatted),Collected By,Collected By (formatted),Date of Collection,Date of Collection (formatted),Remarks
24013,,2519,1,Malacology,-,-,-,-,Fulgur [Busycon],perversum,-,Linne.,- - - - Fulgur [Busycon] perversum -,"Between Tampa and Key West, Fla [Florida]",,,Florida,United States of America,,,Edwin A. Woley,Edwin A. Woley,,,[pre May 1907],pre 1907-05,
24014,,2519,6,Malacology,-,-,-,-,Nerita,peloronta,-,Linne.,- - - - Nerita peloronta -,"Between Tampa and Key West, Fla [Florida]",,,Florida,United States of America,,,Edwin A. Woley,Edwin A. Woley,,,[pre May 1907],pre 1907-05,
24015,,2519,29,Malacology,-,-,-,-,Tellina,radiata,-,Linne.,- - - - Tellina radiata -,"Between Tampa and Key West, Fla [Florida]",,,Florida,United States of America,,,Edwin A. Woley,Edwin A. Woley,,,[pre May 1907],pre 1907-05,
24016,,2519,25,Malacology,-,-,-,-,Labiosa,canaliculata,-,Say.,- - - - Labiosa canaliculata -,"Between Tampa and Key West, Fla [Florida]",,,Florida,United States of America,,,Edwin A. Woley,Edwin A. Woley,,,[pre May 1907],pre 1907-05,
24017,,2519,15,Malacology,-,-,-,-,Dosinia,elegans,-,Conrad.,- - - - Dosinia elegans -,"Between Tampa and Key West, Fla [Florida]",,,Florida,United States of America,,,Edwin A. Woley,Edwin A. Woley,,,[pre May 1907],pre 1907-05,
24018,,2519,1,,-,-,-,-,Fasciolaria,distans [lilium],-,Lamarck.,- - - - Fasciolaria distans [lilium] -,"Between Tampa and Key West, Fla [Florida]",,,Florida,United States of America,,,Edwin A. Woley,Edwin A. Woley,,,[pre May 1907],pre 1907-05,
24019,,2519,25,Malacology,-,-,-,-,Cancellaria,reticulata,-,Linne.,- - - - Cancellaria reticulata -,"Between Tampa and Key West, Fla [Florida]",,,Florida,United States of America,,,Edwin A. Woley,Edwin A. Woley,,,[pre May 1907],pre 1907-05,
24020,,2519,9,Malacology,-,-,-,-,Turbo,castaneus [castanea],-,Gmelin.,- - - - Turbo castaneus [castanea] -,"Between Tampa and Key West, Fla [Florida]",,,Florida,United States of America,,,Edwin A. Woley,Edwin A. Woley,,,[pre May 1907],pre 1907-05,
24021,,2519,55,Malacology,-,-,-,-,Polinices [Neverita],duplicata,-,Say.,- - - - Polinices [Neverita] duplicata -,"Between Tampa and Key West, Fla [Florida]",,,Florida,United States of America,,,Edwin A. Woley,Edwin A. Woley,,,[pre May 1907],pre 1907-05,
24022,,2519,20,Malacology,-,-,-,-,Echinochama [Arcinella],arcinella [arcinella],-,Lin.,- - - - Echinochama [Arcinella] arcinella [arcinella] -,"Between Tampa and Key West, Fla [Florida]",,,Florida,United States of America,,,Edwin A. Woley,Edwin A. Woley,,,[pre May 1907],pre 1907-05,
24023,,2519,25,Malacology,-,-,-,-,Oliva,literata,-,Lamarck.,- - - - Oliva literata -,"Between Tampa and Key West, Fla [Florida]",,,Florida,United States of America,,,Edwin A. Woley,Edwin A. Woley,,,[pre May 1907],pre 1907-05,
24024,,2519,19,Malacology,-,-,-,-,Conus,proteus [spurius],-,Hwass.,- - - - Conus proteus [spurius] -,"Between Tampa and Key West, Fla [Florida]",,,Florida,United States of America,,,Edwin A. Woley,Edwin A. Woley,,,[pre May 1907],pre 1907-05,
24025,,2519,5,Malacology,-,-,-,-,Conus,floridanus [anabathrum],[anabathrum],Gabb.,- - - - Conus floridanus [anabathrum] [anabathrum],"Between Tampa and Key West, Fla [Florida]",,,Florida,United States of America,,,Edwin A. Woley,Edwin A. Woley,,,[pre May 1907],pre 1907-05,
24026,,2519,70,Malacology,-,-,-,-,Pecten,gibbus,irradians,Lam.,- - - - Pecten gibbus irradians,"Between Tampa and Key West, Fla [Florida]",,,Florida,United States of America,,,Edwin A. Woley,Edwin A. Woley,,,[pre May 1907],pre 1907-05,
24027,,2666,24,Malacology,-,-,-,-,Sphaerium,occidentale,-,Prime,- - - - Sphaerium occidentale -,"2 miles South of West Woods, Warsaw, N.Y.",Warsaw,Wyoming,New York,United States of America,,"adult, young",Miss Mabel Smallwood,Mabel Smallwood,Miss Mabel Smallwood,Mabel Smallwood,,,
24028,,2728,10,Malacology,-,-,-,-,Anomia,simplex,-,Orbigny,- - - - Anomia simplex -,Bermuda,,,,Bermuda,,"adult, young",E.H. King,E. H. King,,,,,
24029,"1, 12,13,15",2823,4,Malacology,-,-,-,-,Lampsilis,anodontoides,-,Lea,- - - - Lampsilis anodontoides -,"Chikaskia River, Tonkawa, Oklahoma",Tonkawa,Kay,Oklahoma,United States of America,"female, male","adult, juvenile",F.B. Isely,F. B. Isely,F.B. Isely,F. B. Isely,2017-08-08T00:00:00Z,1917-08-08,
24030,"4, 5, 15",2823,3,Malacology,-,-,-,-,Lampsilis,purpurata,-,Lamarck,- - - - Lampsilis purpurata -,"Chikaskia River, Tonkawa, Oklahoma",Tonkawa,Kay,Oklahoma,United States of America,"female, male","adult, juvenile",F.B. Isely,F. B. Isely,F.B. Isely,F. B. Isely,2017-08-08T00:00:00Z,1917-08-08,
24031,"2, 14, 16",2823,3,Malacology,-,-,-,-,Lampsilis,gracile,-,Barnes,- - - - Lampsilis gracile -,"Chikaskia River, Tonkawa, Oklahoma",Tonkawa,Kay,Oklahoma,United States of America,,"adult, juvenile",F.B. Isely,F. B. Isely,F.B. Isely,F. B. Isely,2017-08-08T00:00:00Z,1917-08-08,
24032,22,2823,1,Malacology,-,-,-,-,Anodonta [Pyganodon],grandis,-,Say.,- - - - Anodonta [Pyganodon] grandis -,"Chikaskia River, Tonkawa, Oklahoma",Tonkawa,Kay,Oklahoma,United States of America,,adult,F.B. Isely,F. B. Isely,F.B. Isely,F. B. Isely,2017-08-08T00:00:00Z,1917-08-08,
24033,"14, 142",2823,2,Malacology,-,-,-,-,Tritogonia [Quadrula],tuberculata [verrucosa],-,Barnes,- - - - Tritogonia [Quadrula] tuberculata [verrucosa] -,"Chikaskia River, Tonkawa, Oklahoma",Tonkawa,Kay,Oklahoma,United States of America,,,F.B. Isley,F. B. Isely,F.B. Isley,F. B. Isely,2017-08-08T00:00:00Z,1917-08-08,
24034,12,2823,1,Malacology,-,-,-,-,Symphnota [Lasmigona],complanata,-,Barnes,- - - - Symphnota [Lasmigona] complanata -,"Chikaskia River, Tonkawa, Oklahoma",Tonkawa,Kay,Oklahoma,United States of America,,adult,F.B. Isley,F. B. Isely,F.B. Isley,F. B. Isely,2017-08-08T00:00:00Z,1917-08-08,
24035,"6, 7",2823,5,Malacology,-,-,-,-,Quadrula [Amblema],undulata,-,Barnes,- - - - Quadrula [Amblema] undulata -,"Chikaskia River, Tonkawa, Oklahoma",Tonkawa,Kay,Oklahoma,United States of America,,"adult, juvenile",F.B. Isley,F. B. Isely,F.B. Isley,F. B. Isely,2017-08-08T00:00:00Z,1917-08-08,
24036,,2332,2,Malacology,-,-,-,-,Anodonta [Pyganodon],grandis,benedictensis,Lea,- - - - Anodonta [Pyganodon] grandis benedictensis,"Braddock's Bay, near Manitou, Lake Ontario, N.Y.",,,New York,United States of America,,,Academy collecting,Chicago Academy of Sciences,Frank C. Baker,Frank Collins Baker,2017-06-06T00:00:00Z,1917-06-06,
24037,,1505,6,Malacology,-,-,-,-,Anodonta,marginata,-,Say,- - - - Anodonta marginata -,"Genesee River, Rochester, N.Y.",Rochester,Monroe,New York,United States of America,,,Frank C. Baker,Frank Collins Baker,Frank C. Baker,Frank Collins Baker,2000-08-01T00:00:00Z,1900-08-01,
24038,"62, 8",2823,3,Malacology,-,-,-,-,Quadrula,lachrymosa [quadrula],-,Lea,- - - - Quadrula lachrymosa [quadrula] -,"Chikaskia River, Tonkawa, Oklahoma",Tonkawa,Kay,Oklahoma,United States of America,,"adult, juvenile",F.B. Isely,F. B. Isely,F.B. Isely,F. B. Isely,2017-08-08T00:00:00Z,1917-08-08,
24039,"9, 92",2823,2,Malacology,-,-,-,-,Quadrula,pustulosa,-,Lea,- - - - Quadrula pustulosa -,"Chikaskia River, Tonkawa, Oklahoma",Tonkawa,Kay,Oklahoma,United States of America,,adult,F.B. Isley,F. B. Isely,F.B. Isley,F. B. Isely,2017-08-08T00:00:00Z,1917-08-08,
24040,35,3034,1,Malacology,-,-,-,-,Anodonta [Pyganodon],grandis,-,Say,- - - - Anodonta [Pyganodon] grandis -,"Chikaskia River, Tonkawa, Oklahoma",Tonkawa,Kay,Oklahoma,United States of America,,adult,F.B. Isely,F. B. Isely,F.B. Isely,F. B. Isely,2017-08-08T00:00:00Z,1917-08-08,
24041,,2865,10,Malacology,-,-,-,-,Fluminicola,fusca,-,Hald.,- - - - Fluminicola fusca -,"Snake River, Idaho",,,Idaho,United States of America,,adult,E.E. Hand,E. E. Hand,E.E. Hand,E. E. Hand,[pre Nov 1908],pre 1908-11,
24042,,2865,4,Malacology,-,-,-,-,Campeloma,rufum,-,Haldeman,- - - - Campeloma rufum -,"Lake Onekama, Mich [Michigan]",,,Michigan,United States of America,,adult,E.E. Hand,E. E. Hand,E.E. Hand,E. E. Hand,[pre Nov 1908],pre 1908-11,
24043,,2865,1,Malacology,-,-,-,-,Polygyra [Mesodon],elevata [elevatus],-,Say,- - - - Polygyra [Mesodon] elevata [elevatus] -,"Joliet, Will Co., Ills. [Illinois]",Joliet,"Will, Kendall",Illinois,United States of America,,adult,E.E. Hand,E. E. Hand,E.E. Hand,E. E. Hand,[pre Nov 1908],pre 1908-11,
24044,,2865,3,Malacology,-,-,-,-,Polygyra [Patera],appressa,-,Say,- - - - Polygyra [Patera] appressa -,"Alton, Madison Co., Ills. [Illinois]",Alton,Madison,Illinois,United States of America,,adult,E.E. Hand,E. E. Hand,E.E. Hand,E. E. Hand,[pre Nov 1908],pre 1908-11,
24045,,2865,6,Malacology,-,-,-,-,Pyramidula [Anguispira],alternata,-,Say,- - - - Pyramidula [Anguispira] alternata -,"Alton, Madison Co., Ills. [Illinois]",Alton,Madison,Illinois,United States of America,,adult,E.E. Hand,E. E. Hand,E.E. Hand,E. E. Hand,[pre Nov 1908],pre 1908-11,
24046,,2451,3,Malacology,-,-,-,-,Helicinia [Oligyra],orbiculata,tropica,"Pfr ""Jan""",- - - - Helicinia [Oligyra] orbiculata tropica,"Corpus Christi, Texas",Corpus Christi,,Texas,United States of America,,adult,A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,2006-07-20T00:00:00Z,1906-07-20,
24047,,2451,1,Malacology,-,-,-,-,Helicinia [Oligyra],orbiculata,tropica,"Pfr ""Jan""",- - - - Helicinia [Oligyra] orbiculata tropica,"Port Isabel, Texas",Port Isabel,Cameron,Texas,United States of America,,adult,A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,2006-07-22T00:00:00Z,1906-07-22,On beach
24048,,2451,14,Malacology,-,-,-,-,Helicinia [Oligyra],orbiculata,tropica,"Pfr ""Jan""",- - - - Helicinia [Oligyra] orbiculata tropica,"Brownsville, Texas",Brownsville,Cameron,Texas,United States of America,,adult,A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,2017-07-06T00:00:00Z,1917-07-06,River drift
24049,,2451,40,Malacology,-,-,-,-,Helicinia [Oligyra],orbiculata,tropica,"Pfr ""Jan""",- - - - Helicinia [Oligyra] orbiculata tropica,"Esperanza Ranch, Brownsville, Tex. [Texas]",Brownsville,Cameron,Texas,United States of America,,adult,A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,2006-07-28T00:00:00Z,1906-07-28,Tropical forest
24050,,2451,16,Malacology,-,-,-,-,Praticolella,berlanderiana,-,Moricand,- - - - Praticolella berlanderiana -,"Corpus Christi, [Texas]",Corpus Christi,"Nueces, Aransas, San Patricio",Texas,United States of America,,"adult, young",A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,2006-07-20T00:00:00Z,1906-07-20,
24051,,2451,2,Malacology,-,-,-,-,Praticolella,berlanderiana,-,Moricand,- - - - Praticolella berlanderiana -,"Sinton, Texas",Sinton,San Patricio,Texas,United States of America,,"adult, young",A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,2006-08-04T00:00:00Z,1906-08-04,Under railroad tie
24052,,2451,4,Malacology,-,-,-,-,Praticolella,berlanderiana,-,Moricand,- - - - Praticolella berlanderiana -,"Brownsville, Texas",Brownsville,Cameron,Texas,United States of America,,"adult, young",A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,2006-07-30T00:00:00Z,1906-07-30,River drift
24053,,2451,13,Malacology,-,-,-,-,Praticolella,griseola,-,Pfr,- - - - Praticolella griseola -,"Brownsville, Texas",Brownsville,Cameron,Texas,United States of America,,"adult, young",A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,2006-07-24T00:00:00Z,1906-07-24,Chaparral
24054,,2451,14,Malacology,-,-,-,-,Praticolella,griseola,-,Pfr,- - - - Praticolella griseola -,"Brownsville, Texas",Brownsville,Cameron,Texas,United States of America,,"adult, juvenile",A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,2006-08-02T00:00:00Z,1906-08-02,Old Fort Brown
24055,,2451,2,Malacology,-,-,-,-,Praticolella,griseola,-,Pfr,- - - - Praticolella griseola -,"Brownsville, Texas",Brownsville,Cameron,Texas,United States of America,,adult,A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,2006-07-24T00:00:00Z,1906-07-24,Chaparral
24056,,2451,7,Malacology,-,-,-,-,Praticolella,griseola,-,Pfr,- - - - Praticolella griseola -,"Port Isabel, Texas",Port Isabel,Cameron,Texas,United States of America,,"adult, young",A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,2006-07-30T00:00:00Z,1906-07-30,River drift
24057,,2451,11,Malacology,-,-,-,-,Polygyra [Linisa],texasiana,-,Moricand,- - - - Polygyra [Linisa] texasiana -,"Port Isabel, Texas",Port Isabel,Cameron,Texas,United States of America,,adult,A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,,,On beach
24058,,2451,8,Malacology,-,-,-,-,Polygyra [Linisa],texasiana,-,Moricand,- - - - Polygyra [Linisa] texasiana -,"Corpus Christi, Texas",Corpus Christi,"Nueces, Aransas, San Patricio",Texas,United States of America,,adult,A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,1906-07-20T00:00:00Z,1906-07-20,
24059,,2451,4,Malacology,-,-,-,-,Polygyra [Linisa],texasiana,-,Moricand,- - - - Polygyra [Linisa] texasiana -,"Brownsville, Texas",Brownsville,Cameron,Texas,United States of America,,adult,A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,1906-08-02T00:00:00Z,1906-08-02,Under mesquite in house yard
24060,,2451,8,Malacology,-,-,-,-,Polygyra [Linisa],texasiana,-,Moricand,- - - - Polygyra [Linisa] texasiana -,"Brownsville, Texas",Brownsville,Cameron,Texas,United States of America,,adult,A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,2017-07-06T00:00:00Z,1917-07-06,
24061,,2451,30,Malacology,-,-,-,-,Polygyra [Linisa],texasiana,-,Moricand,- - - - Polygyra [Linisa] texasiana -,"Brownsville, Texas",Brownsville,Cameron,Texas,United States of America,,"adult, young",A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,2006-07-30T00:00:00Z,1906-07-30,River drift
24062,,2451,3,Malacology,-,-,-,-,Polygyra [Linisa],texasiana,-,Moricand,- - - - Polygyra [Linisa] texasiana -,"Brownsville, Texas",Brownsville,Cameron,Texas,United States of America,,,A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,2017-07-06T00:00:00Z,1917-07-06,
24063,,2451,9,Malacology,-,-,-,-,Polygyra [Linisa],texasiana,[hyperolia],Moricand,- - - - Polygyra [Linisa] texasiana [hyperolia],"Brownsville, Texas",Brownsville,Cameron,Texas,United States of America,,adult,A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,2017-07-06T00:00:00Z,1917-07-06,Variation in aperture
24064,,2451,2,Malacology,-,-,-,-,Bulimulus,dealbatus,liquabilis,Reeve,- - - - Bulimulus dealbatus liquabilis,"Corpus Christi, Texas",Corpus Christi,"Nueces, Aransas, San Patricio",Texas,United States of America,,adult,A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,2017-07-06T00:00:00Z,1917-07-06,Varying toward var. hyperolia
24065,,2451,2,Malacology,-,-,-,-,Bulimulus,alternatus,mariae,Albers,- - - - Bulimulus alternatus mariae,"Point Isabel, Texas",Point Isabel,Cameron,Texas,United States of America,,adult,A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,2006-07-20T00:00:00Z,1906-07-20,
24066,,2451,1,Malacology,-,-,-,-,Bulimulus,alternatus,mariae,Albers,- - - - Bulimulus alternatus mariae,"Sinton, Texas",Sinton,San Patricio,Texas,United States of America,,adult,A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,2006-07-22T00:00:00Z,1906-07-22,On beach
24067,,2451,13,Malacology,-,-,-,-,Bulimulus,alternatus,mariae,Albers,- - - - Bulimulus alternatus mariae,"Corpus Christi, Texas",Corpus Christi,"Nueces, Aransas, San Patricio",Texas,United States of America,,adult,A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,2006-07-08T00:00:00Z,1906-07-08,On mesquite
24068,,2451,55,Malacology,-,-,-,-,Bulimulus,alternatus,mariae,Albers,- - - - Bulimulus alternatus mariae,"Brownsville, Texas",Brownsville,Cameron,Texas,United States of America,,"adult, young",A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,2006-07-20T00:00:00Z,1906-07-20,
24069,,2451,12,Malacology,-,-,-,-,Euglandina,singleyana,-,W. G. Binney,- - - - Euglandina singleyana -,"La Esperanza Ranch, Brownsville, Texas",Brownsville,Cameron,Texas,United States of America,,adult,A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,2017-07-06T00:00:00Z,1917-07-06,
24070,,2451,2,Malacology,-,-,-,-,Pupoides,marginatus,-,Say,- - - - Pupoides marginatus -,"Old Fort Brown, Brownsville, Texas",Brownsville,Cameron,Texas,United States of America,,adult,A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,2006-07-31T00:00:00Z,1906-07-31,Tropical forest
24071,,2451,10,Malacology,-,-,-,-,Bifidaria [Gastrocopta],pellucida,hordeacella,Pilsbry,- - - - Bifidaria [Gastrocopta] pellucida hordeacella,"Old Fort Brown, Brownsville, Texas",Brownsville,Cameron,Texas,United States of America,,"adult, young",A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,2006-08-02T00:00:00Z,1906-08-02,
24072,,2451,50,,-,-,-,-,Bifidaria [Gastrocopta],procera,-,Gould,- - - - Bifidaria [Gastrocopta] procera -,"Old Fort Brown, Brownsville, Texas",Brownsville,Cameron,Texas,United States of America,,"adult, young",A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,2006-08-02T00:00:00Z,1906-08-02,
24073,,2451,19,Malacology,-,-,-,-,Bifidaria [Gastrocopta],contracta,-,Say,- - - - Bifidaria [Gastrocopta] contracta -,"Old Fort Brown, Brownsville, Texas",Brownsville,Cameron,Texas,United States of America,,"adult, young",A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,2006-08-02T00:00:00Z,1906-08-02,
24074,,2451,36,Malacology,-,-,-,-,Succinea,luteola,-,Gould,- - - - Succinea luteola -,"Brownsville, Texas",Brownsville,Cameron,Texas,United States of America,,"adult, young",A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,2006-07-23T00:00:00Z,1906-07-23,Mesquite. A rare shell in this locality
24075,,2451,20,Malacology,-,-,-,-,Euglandina,singleyana,-,W. G. Binney,- - - - Euglandina singleyana -,"Esperanza Ranch, Brownsville, Texas",Brownsville,Cameron,Texas,United States of America,,"adult, young",A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,2006-07-31T00:00:00Z,1906-07-31,eggs
24076,,3093,1,Malacology,-,-,-,-,Polinices [Polinicea?] [Neverita],duplicata,-,Say,- - - - Polinices [Polinicea?] [Neverita] duplicata -,"Point Isabel, Texas",Point Isabel,Cameron,Texas,United States of America,,juvenile,A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,2006-06-22T00:00:00Z,1906-06-22,On beach
24077,,3093,1,Malacology,-,-,-,-,Fulgur [Busycon],perversum,-,Linne,- - - - Fulgur [Busycon] perversum -,"Point Isabel, Texas",Point Isabel,Cameron,Texas,United States of America,,juvenile,A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,2006-06-22T00:00:00Z,1906-06-22,On beach
24078,,3093,3,Malacology,-,-,-,-,Melampus,flavus,-,Gmelin,- - - - Melampus flavus -,"Point Isabel, Texas",Point Isabel,Cameron,Texas,United States of America,,"adult, juvenile",A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,2006-06-22T00:00:00Z,1906-06-22,On beach
24079,,3093,1,Malacology,-,-,-,-,Crepidula,plana,-,Say,- - - - Crepidula plana -,"Point Isabel, Texas",Point Isabel,Cameron,Texas,United States of America,,juvenile,A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,2006-06-22T00:00:00Z,1906-06-22,On beach
24080,,3093,1,Malacology,-,-,-,-,Chione,cancellata,-,Linne,- - - - Chione cancellata -,"Point Isabel, Texas",Point Isabel,Cameron,Texas,United States of America,,juvenile,A.B. Wolcott,A. B. Wolcott,A.B. Wolcott,A. B. Wolcott,2006-06-22T00:00:00Z,1906-06-22,On beach
24081,,2959,1,Malacology,-,-,-,-,Campeloma,integrum [decisum],-,Say,- - - - Campeloma integrum [decisum] -,"Erie Canal, below Lock 65, Rochester, NY",Rochester,Monroe,New York,United States of America,,immature,Academy collecting,Chicago Academy of Sciences,F.C. Baker,Frank Collins Baker,6(8-14)1909,1909-06,Reversed
24082,,2959,2,Malacology,-,-,-,-,Campeloma,decisum,-,Say,- - - - Campeloma decisum -,"Erie Canal, below Lock 65, Rochester, NY",Rochester,Monroe,New York,United States of America,,adult,Academy collecting,Chicago Academy of Sciences,F.C. Baker,Frank Collins Baker,6(8-14)1909,1909-06,
24083,,2959,4,Malacology,-,-,-,-,Campeloma,rufum,-,Haldeman,- - - - Campeloma rufum -,"Erie Canal, below Lock 65, Rochester, NY",Rochester,Monroe,New York,United States of America,,adult,Academy collecting,Chicago Academy of Sciences,F.C. Baker,Frank Collins Baker,6(8-14)1909,1909-06,
24084,,2959,3,Malacology,-,-,-,-,Quadrula [Fusconaia],rubignosa [flava],-,Lea,- - - - Quadrula [Fusconaia] rubignosa [flava] -,"Erie Canal, below Lock 65, Rochester, NY",Rochester,Monroe,New York,United States of America,,"adult, juvenile",Academy collecting,Chicago Academy of Sciences,F.C. Baker,Frank Collins Baker,6(8-14)1909,1909-06,
24085,,2854,1,Malacology,-,-,-,-,Trophon,triangulatus,-,Cpr,- - - - Trophon triangulatus -,"near San Pedro, Cal. [California]",San Pedro,Los Angeles,California,United States of America,,adult,Dr. Charles McCoy,Charles McCoy,,,,,
24086,,2119,1,Malacology,-,-,-,-,Murex [Ceratostoma],foliatus,-,Gmelin,- - - - Murex [Ceratostoma] foliatus -,California,,,California,United States of America,,adult,Dr. Charles McCoy,Charles McCoy,,,,,
24087,,2645,1,Malacology,-,-,-,-,Lampsilis [Potamilus],alata [alatus],-,"(Say, 1817)",- - - - Lampsilis [Potamilus] alata [alatus] -,"Lansing, Iowa",Lansing,Allamakee,Iowa,United States of America,,adult,Robert Frayer,Robert Frayer,Robert Frayer,Robert Frayer,,,
