AGENT_TYPE,PREFERRED NAME,MERGE_FORMAT,ORIGINAL_SPLIT,UNSPLIT
person,A. S. Brimley,A. S. Brimley,A.S. Brimley,A.S. Brimley
person,A. S. Burt,A. S. Burt,A.S. Burt,A.S. Burt
person,A. S. Burt,A. S. Burt,A. S. Burt,A. S. Burt
person,A. S. Foster,A. S. Foster,A.S. Foster,A.S. Foster
person,A. S. Ortmann,A. S. Ortmann,A.S. Ortmann,A.S. Ortmann
person,A. S. Paine,A. S. Paine,A.S. Paine,A.S. Paine
person,A. S. Pamis,A. S. Pamis,A.S. Pamis,"S.S. Gregory, Jr./A.S. Pamis"
person,A. S. Pearse,A. S. Pearse,A.S. Pearse,A.S. Pearse
person,A. S. Pease,A. S. Pease,A.S. Pease,A.S. Pease
person,unknown,A. S. T.,A.S.T,A.S.T
person,A. S. Tiffany,A. S. Tiffany,A.S. Tiffany,A.S. Tiffany
person,A. S. Windsor,A. S. Windsor,A.S. Windsor,A.S. Windsor
person,Albert Scharf,A. Scharf,A.Scharf,A.Scharf
person,Albert Scharf,A. Scharf,A. Scharf,A. Scharf
person,A. Schoenebeck,A. Schoenebeck,A. Schoenebeck,A. Schoenebeck
person,A. Schubel,A. Schubel,A. Schubel,A. Schubel
person,A. Searle,A. Searle,A. Searle,A. Searle
person,A. Shubel,A. Shubel,A. Shubel,A. Shubel
person,A. St. Curtiss,A. St. Curtiss,A.St. Curtiss,A.St. Curtiss
person,A. Steiner,A. Steiner,A. Steiner,A. Steiner
person,A. Steyermark,A. Steyermark,A. Steyermark,A. Steyermark
organization,Atcheson Topeka & Santa Fe Railroad Company,Atcheson Topeka & Santa Fe Railroad Company,"A.T. Atchison, Topeka & Santa Fe Railroad","A.T. Atchison, Topeka & Santa Fe Railroad"
person,A. T. Rider,A. T. Rider,A.T. Rider,A.T. Rider
person,A. T. Wayne,A. T. Wayne,A.T. Wayne,A.T. Wayne
person,A. T. Wheeler,A. T. Wheeler,A.T. Wheeler,A.T. Wheeler
person,Antwonet Treganza,A. Treganza,A. Treganza,A. Treganza
person,A. Troschel,A. Troschel,A. Troschel,A. Troschel
person,A. Valter,A. Valter,A. Valter,A. Valter
person,Adriaan Van Rossem,A. VanRossem,A. VanRossem,E.E. Armstrong; on tag: A. VanRossem
person,Adriaan Van Rossem,A. Van Rossem,A. Van Rossem,A. Van Rossem
person,Adriaan Van Rossem,A. Van Rossen,A. Van Rossen,A. Van Rossen
person,Adriaan Van Rossem,A. Van Rossum,A. Van Rossum,A. Van Rossum
person,A. Vates,A. Vates,A. Vates,A. Vates
person,A. W. Anthony,A. W. Anthony,A.W. Anthony,A.W. Anthony
person,A. W. Carter,A. W. Carter,A.W. Carter,A.W. Carter
person,A. W. Conner,A. W. Conner,A.W. Conner,A.W. Conner
person,A. W. Conner,A. W. Conner,A. W. Conner,A. W. Conner
person,A. W. Cormer,A. W. Cormer,A.W. Cormer,A.W. Cormer
person,A. W. Corner,A. W. Corner,A.W. Corner,A.W. Corner
person,A. W. Couner,A. W. Couner,A.W. Couner,A.W. Couner
person,unknown,A. W. H.,A.W.H,A.W.H
person,unknown,A. W. H. ,A.W.H.,A.W.H.
person,unknown,A. W. H. ,A. W. H.,A. W. H.
person,A. W. Higgins,A. W. Higgins,A.W. Higgins,A.W. Higgins
person,A. W. Mumford,A. W. Mumford,A.W. Mumford,A.W. Mumford
person,A. W. Slocum,A. W. Slocum,A.W. Slocum,A.W. Slocum
person,A. W. Vagdes,A. W. Vagdes,A.W. Vagdes,A.W. Vagdes
person,A. W. Vogder,A. W. Vogder,A.W. Vogder,A.W. Vogder
person,A. W. Vogdes,A. W. Vogdes,A.W. Vogdes,A.W. Vogdes
person,A. W. Vogdes,A. W. Vogdes,A. W. Vogdes,A. W. Vogdes
person,A. Whiting Watriss,A. W. Watriss,A.W. Watriss,A.W. Watriss
person,A. Whiting Watriss,A. W. Whiting Watriss,A.W.Whiting Watriss,A.W.Whiting Watriss
person,A. W. Wyatt,A. W. Wyatt,A.W. Wyatt,A.W. Wyatt
person,A. Walker,A. Walker,A. Walker,A. Walker
person,A. Wetmore,A. Wetmore,A. Wetmore,A. Wetmore
person,A. Whiting Watriss,A. Whiting Watriss,A. Whiting Watriss,A. Whiting Watriss
person,A. Williams,A. Williams,A. Williams,A. Williams
person,A. Williamson,A. Williamson,A. Williamson,A. Williamson
person,A. Wyatt,A. Wyatt,A.Wyatt,A.Wyatt
person,Andrew Paul Young,A. Young,A. Young,A. Young
person,Andrew Paul Young,A. Young,A. Young,"J. Bledig/ A. Young, 2010"
person,Andrew Paul Young,A. Young,A. Young,"J. Bledig/A. Young, 2010"
person,Andrew Paul Young,A. Young,A. Young,"J. Bledig/A. Young/M. Angkuw, 2010"
person,Andrew Paul Young,A. Young,A. Young,AMBIGUOUS
organization,American Association for the Advancement of Science,A. A. A. S.,AAAS,AAAS
person,A. A. Barden,A. A. Barden,A A Barden,A A Barden
organization,Aard-vark Shop,Aard-vark Shop,Aard-vark Shop,Aard-vark Shop
person,PLACEHOLDER,A. Barden,A Barden,A Barden
person,PLACEHOLDER,A. Barden,A Barden,"O Park, A Barden, C Higginbotham"
person,PLACEHOLDER,A. Barden,A Barden,AMBIGUOUS
person,unknown,Abbott,Abbott,"Messrs. Ford, Abbott & Richards"
organization,Abbott Laboratories,Abbott Laboratories,Abbott Laboratories,Abbott Laboratories
person,A. B. Horrell,A. B. Horrell,A B Horrell,A B Horrell
person,A. B. Lichtenberg,A. B. Lichtenberg,A B Lichtenberg,A B Lichtenberg
person,unknown,Abrams,Abrams,Abrams & Andrews
person,unknown,Abrams,Abrams,Abrams and Andrews
person,unknown,Abrams,Abrams,AMBIGUOUS
person,A. Brooks,A. Brooks,A Brooks,A Brooks
organization,Academy of Natural Sciences,Academy of Natural Sciences,Academy of Nat. Sciences,Academy of Nat. Sciences
organization,Academy of Natural Sciences of Philadelphia,Philadelphia Academy of Natural Sciences,Academy of Nat. Sciences Philadelphia,Academy of Nat. Sciences Philadelphia
organization,Chicago Academy of Sciences,Chicago Academy of Sciences,Academy of Sciences Mus. Coll. Chicago Academy of Sciences,Academy of Sciences Mus. Coll. Chicago Academy of Sciences
organization,Academy of Natural Sciences of Philadelphia,Philadelphia Academy of Sciences,Academy of Sciences of Philadelphia,Academy of Sciences of Philadelphia
organization,Academy of Sciences San Francisco,Academy of Sciences San Francisco,Academy of Sciences San Francisco,Academy of Sciences San Francisco
person,A. C. Bent,A. C. Bent,A C Bent,A C Bent
person,Ace Cook Fessenden,Ace Cook Fessenden,Ace Cook Fessenden,Ace Cook Fessenden
person,Ace Cook Fessenden,A. C. Fessenden,A C Fessenden,A C Fessenden
person,A. C. Higginbotham,A. C. Higginbotham,A C Higginbotham,A C Higginbotham
person,A. C. Holden,A. C. Holden,A C Holden,A C Holden
person,A. C. Rogers,A. C. Rogers,A C Rogers,A C Rogers
person,A. C. Weed,A. C. Weed,A C Weed,A C Weed
organization,Adamant Manufacturing Company,Adamant Manufacturing Company,Adamant Mfg. Co.,Adamant Mfg. Co.
person,Adam Leavett,Adam Leavett,Adam Leavett,Adam Leavett
person,Adam Leavett,Adam Leavitt,Adam Leavitt,Adam Leavitt
person,unknown,Adams,Adams,Adams
organization,Adams Express Company,Adams Express Company,Adams Express Co.,Adams Express Co.
person,Ada Murr,Ada Murr,Ada Murr,Ada Murr
person,Adella Helmershausen,Adella Helmershausen,Adella Helmershausen,Adella Helmershausen
person,Adelle Iannarone,Adelle Iannarone,Adelle Iannarone,Adelle Iannarone
person,Adilene F. Stanton,Adilene F. Stanton,Adilene F. Stanton,Adilene F. Stanton
person,Adolph Kaestner,Adolph Kaesnter,Adolph Kaesnter,Adolph Kaesnter
person,Adolph Kaestner,Adolph Kaestner,Adolph Kaestner,Adolph Kaestner
person,Adolph Kaestner,Adolph Kaistner,Adolph Kaistner,Adolph Kaistner
