MEDIA_URI,PREVIEW_URI,MEDIA_LICENSE,MIME_TYPE,MEDIA_TYPE,MEDIA_RELATIONSHIP_1,MEDIA_RELATED_TERM_1,MEDIA_RELATIONSHIP_2,MEDIA_RELATED_TERM_2,MEDIA_RELATIONSHIP_3,MEDIA_RELATED_TERM_3,MEDIA_LABEL_1,MEDIA_LABEL_VALUE_1,MEDIA_LABEL_2,MEDIA_LABEL_VALUE_2
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_18548-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_18548-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:18548,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_18548-2.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_18548-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_18548-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:18548,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_18548-3.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_18548-4.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_18548-4.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:18548,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_18548-4.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_22662-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_22662-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:22662,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_22662-1.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_22662-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_22662-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:22662,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_22662-2.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_22662-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_22662-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:22662,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_22662-3.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_22662-4.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_22662-4.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:22662,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_22662-4.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_9172-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_9172-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:9172,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_9172-1.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_9172-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_9172-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:9172,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_9172-2.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_9172-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_9172-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:9172,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_9172-3.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_9172-4.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_9172-4.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:9172,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_9172-4.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_9183-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_9183-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:9183,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_9183-1.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_9183-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_9183-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:9183,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_9183-2.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_9183-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_9183-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:9183,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_9183-3.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_9183-4.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_9183-4.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:9183,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_9183-4.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_9622-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_9622-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:9622,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_9622-1.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_9622-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_9622-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:9622,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_9622-2.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_9622-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_9622-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:9622,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_9622-3.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_9622-4.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_9622-4.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:9622,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_9622-4.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_9691-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_9691-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:9691,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_9691-1.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_9691-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_9691-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:9691,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_9691-2.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_9691-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_9691-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:9691,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_9691-3.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_9691-4.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_9691-4.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:9691,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_9691-4.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_9831-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_9831-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:9831,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_9831-1.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_9831-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_9831-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:9831,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_9831-2.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_9831-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_9831-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:9831,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_9831-3.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_9831-4.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_9831-4.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:9831,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_9831-4.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_9900-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_9900-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:9900,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_9900-1.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_9900-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_9900-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:9900,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_9900-2.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_9900-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_9900-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:9900,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_9900-3.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_9900-4.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_9900-4.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:9900,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_9900-4.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
