guid,scientific_name,made_date,nature_of_id,accepted_fg,identification_remarks,agent_1
CHAS:Mamm:1223,Sciurus {Sciurus fremonti fremonti},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:3102,Geomys {Geomys tuza mobilensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:3101,Geomys {Geomys tuza mobilensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:3100,Geomys {Geomys tuza mobilensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:3099,Geomys {Geomys tuza mobilensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:3098,Geomys {Geomys tuza mobilensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:3097,Geomys {Geomys tuza mobilensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:3096,Geomys {Geomys tuza mobilensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:3095,Geomys {Geomys tuza mobilensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:3094,Geomys {Geomys tuza mobilensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:3093,Geomys {Geomys tuza mobilensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:3092,Geomys {Geomys tuza mobilensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:906,Sciurus {Sciurus fremonti fremonti},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:905,Sciurus {Sciurus fremonti fremonti},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:904,Sciurus {Sciurus fremonti fremonti},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:903,Sciurus {Sciurus fremonti fremonti},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:3682,Nycteris {Nycteris borealis seminola},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:4768,Nycteris {Nycteris borealis borealis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:4764,Nycteris {Nycteris borealis borealis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:4135,Nycteris {Nycteris borealis borealis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:4134,Nycteris {Nycteris borealis borealis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:3663,Nycteris {Nycteris borealis borealis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:3662,Nycteris {Nycteris borealis borealis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:2532,Nycteris {Nycteris borealis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:2347,Nycteris {Nycteris borealis borealis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:1787,Nycteris {Nycteris borealis borealis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:1786,Nycteris {Nycteris borealis borealis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:1423,Neotoma {Neotoma intermedia intermedia},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:1723,Nycteris {Nycteris borealis borealis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:2564,Clethrionomys {Clethrionomys carolinensis carolinensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:2565,Clethrionomys {Clethrionomys carolinensis carolinensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:3475,Canis nubilus {Canis nubilus baileyi},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:2647,Mustela {Mustela rixosus eskimo},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:983,Peromyscus nuttalli {Peromyscus nuttalli nuttalli},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:3991,Citellus {Citellus harrisii harrisii},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:3935,Citellus {Citellus harrisii harrisii},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:3914,Citellus {Citellus harrisii harrisii},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:3904,Citellus {Citellus harrisii harrisii},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:1195,Thomomys {Thomomys aureus pervagus},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:1194,Thomomys {Thomomys aureus pervagus},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:1193,Thomomys {Thomomys aureus pervagus},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:1192,Thomomys {Thomomys aureus pervagus},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:1191,Thomomys {Thomomys aureus pervagus},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:1190,Thomomys {Thomomys aureus pervagus},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:1189,Thomomys {Thomomys aureus pervagus},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:1188,Thomomys {Thomomys aureus pervagus},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
