CAT_NUM,DEL_EVENT
1292,3230665
1293,3231278
1295,3236477
1296,3236306
1298,3395843
1299,3236211
13,3231562
130,3237178
1300,3235975
1301,3394223
1302,3392732
1303,3392991
1304,3234412
1305,3234368
1306,3235928
1307,3395812
1308,3395837
1309,3234618
131,3237290
1310,3232952
1311,3232928
1312,3395836
1314,3232792
1315,3239035
1316,3237033
1317,3391214
1318,3236988
1319,3232829
132,3232851
1320,3232704
1322,3399284
1323,3399285
1325,3238727
1326,3236103
1327,3235858
1328,3395933
1329,3238127
1330,3236413
1331,3235859
1332,3236445
1334,3235556
1337,3233962
1338.1,3236371
1338.2,3395177
1339.1,3233772
1339.2,3233560
134,3228870
1340,3395972
1341,3234086
1342,3238129
1346,3229662
1347,3229669
1348,3230967
1349,3239441
1350,3239584
1352,3229951
1353,3230912
1354,3230913
1355,3229965
1356,3229972
1358,3231068
1364,3234080
1365,3236472
1367,3391996
1368,3237425
1369,3237337
1370,3237214
1371,3232136
1372,3395021
1373,3394909
1374,3395845
1375,3233777
1379,3232520
1380,3232546
1381,3232547
1382,3238255
1384,3242941
1386,3234524
1387,3234525
1388,3236226
139,3231016
1391,3237437
1392,3237486
1393,3232623
1395,3236372
1396,3236126
14,3231219
140,3232830
1401,3240613
1406,3229257
1408,3236008
1412,3237434
1414,3237487
1415,3234003
1419,3236709
142,3233283
1420,3230570
1421,3236823
1422,3237069
1425,3236309
1426,3236310
143,3236872
1430,3232197
1431,3242372
1432,3237003
1433,3237833
1438,3239524
1439,3239761
1440,3238186
1441,3238110
1442,3238084
1443,3394179
1444,3237002
1445,3232758
1446,3236610
1447,3233694
1448,3234081
1449,3231919
1450,3237872
1451,3237199
1452,3236950
1453,3236121
1455,3233798
1456,3235055
1457,3232772
1459,3392074
1460,3233201
1461,3233202
1462,3233203
1463,3394270
1464,3395262
1465,3231986
1466,3233266
1467,3395261
1468,3235029
1469,3235054
1470,3236248
1471,3233873
1472,3232849
1473,3240791
1474,3232975
1475,3233095
1476,3235803
1477,3236613
1478,3236614
1479,3234011
1480,3231978
1481,3232681
1483,3240931
1485,3237536
1486,3231915
1487,3395256
1488,3237197
1489,3237360
1490,3237359
1492,3237198
1493,3237967
1494,3232817
1495,3232818
1496,3236615
1497,3236127
1499,3236712
15,3231214
15001,3230462
15003,3241347
