part_name,ATTRIBUTE_TYPE,guid,remark,determiner,DETERMINED_DATE,ATTRIBUTE_VALUE
whole organism (70% ethanol),location,CHAS:Herp:4082,,Dawn R. Roberts,2015-07-03,Reebie: Locker 312A: Unit 26: Shelf C
whole organism (70% ethanol),location,CHAS:Herp:4083,,Dawn R. Roberts,2015-07-03,Reebie: Locker 312A: Unit 26: Shelf C
whole organism (70% ethanol),location,CHAS:Herp:4084,,Dawn R. Roberts,2015-07-03,Reebie: Locker 312A: Unit 26: Shelf C
whole organism (70% ethanol),location,CHAS:Herp:4085,,Dawn R. Roberts,2015-07-03,Reebie: Locker 312A: Unit 26: Shelf C
whole organism (70% ethanol),location,CHAS:Herp:4086,,Dawn R. Roberts,2015-07-03,Reebie: Locker 312A: Unit 26: Shelf C
whole organism (70% ethanol),location,CHAS:Herp:4087,,Dawn R. Roberts,2015-07-03,Reebie: Locker 312A: Unit 26: Shelf C
whole organism (70% ethanol),location,CHAS:Herp:4088,,Dawn R. Roberts,2015-07-03,Reebie: Locker 312A: Unit 26: Shelf C
whole organism (70% ethanol),location,CHAS:Herp:4089,,Dawn R. Roberts,2015-07-03,Reebie: Locker 312A: Unit 26: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:409,,Dawn R. Roberts,2014-09-17,Reebie: Locker 312A?
whole organism (70% ethanol),location,CHAS:Herp:4090,,Dawn R. Roberts,2015-07-03,Reebie: Locker 312A: Unit 26: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:4091,,Dawn R. Roberts,2015-07-03,Reebie: Locker 312A: Unit 26: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:4092,,Dawn R. Roberts,2015-07-03,Reebie: Locker 312A: Unit 26: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:4093,,Dawn R. Roberts,2015-07-03,Reebie: Locker 312A: Unit 26: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:4094,,Dawn R. Roberts,2015-07-03,Reebie: Locker 312A: Unit 26: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:4095,,Dawn R. Roberts,2015-07-03,Reebie: Locker 312A: Unit 27: Shelf C
whole organism (70% ethanol),location,CHAS:Herp:4096,,Dawn R. Roberts,2015-07-03,Reebie: Locker 312A: Unit 27: Shelf C
whole organism (70% ethanol),location,CHAS:Herp:4097,,Dawn R. Roberts,2015-07-03,Reebie: Locker 312A: Unit 27: Shelf C
whole organism (70% ethanol),location,CHAS:Herp:410,,John Archer,2015-03-11,Reebie: Locker 312A: Unit 25: Shelf A
whole organism (70% ethanol),location,CHAS:Herp:4108,,Dawn R. Roberts,2015-07-03,Reebie: Locker 312A: Unit 25: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:4109,,Dawn R. Roberts,2014-09-17,Reebie: Locker 312A?
whole organism (70% ethanol),location,CHAS:Herp:411,,John Archer,2015-03-11,Reebie: Locker 312A: Unit 25: Shelf A
whole organism (70% ethanol),location,CHAS:Herp:4110,,Dawn R. Roberts,2015-07-03,Reebie: Locker 312A: Unit 27: Shelf A
whole organism (70% ethanol),location,CHAS:Herp:412,,John Archer,2015-03-11,Reebie: Locker 312A: Unit 25: Shelf A
whole organism (70% ethanol),location,CHAS:Herp:4121,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 25: Shelf F
whole organism (70% ethanol),location,CHAS:Herp:4122,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 25: Shelf F
whole organism (70% ethanol),location,CHAS:Herp:4123,,John Archer,2015-04-10,Reebie: Locker 312A: Unit 27: Shelf B
whole organism (70% ethanol),location,CHAS:Herp:4126,,John Archer,2014-08-19,Reebie: Locker 304A: Unit 20: Shelf E
whole organism (70% ethanol),location,CHAS:Herp:4128,,John Archer,2015-03-11,Reebie: Locker 312A: Unit 25: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:4129,,John Archer,2015-03-11,Reebie: Locker 312A: Unit 25: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:413,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:4130,,John Archer,2015-03-11,Reebie: Locker 312A: Unit 25: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:4131,,John Archer,2015-03-11,Reebie: Locker 312A: Unit 25: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:4132,,John Archer,2015-03-11,Reebie: Locker 312A: Unit 25: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:4133,,John Archer,2015-03-11,Reebie: Locker 312A: Unit 25: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:4134,,John Archer,2015-03-11,Reebie: Locker 312A: Unit 25: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:4135,,John Archer,2015-03-11,Reebie: Locker 312A: Unit 25: Shelf D
