MATCH,Class,Order,Family,Genus,species,subspecies,form/variety,FullName,Currently Accepted?,Accepted Name,Original Name,irn
Unio prevostianus,Bivalvia,Paleoheterodonta,Unionidae,Unio,prevostianus,,,"Unio prevostianus Lea, I., 1853",No,"Villosa vibex (Conrad, 1834)","Unio prevostianus Lea, I., 1853",588491
Unio productus,Bivalvia,Paleoheterodonta,Unionidae,Unio,productus,,,"Unio (Elliptio) productus (Conrad, 1836)",No,"Elliptio producta (Conrad, 1836)","Unio productus Conrad, 1836",585565
Unio productus,Bivalvia,Paleoheterodonta,Unionidae,Unio,productus,,,"Unio productus Conrad, 1836",No,"Elliptio producta (Conrad, 1836)","Unio productus Conrad, 1836",585562
Unio propecoelatus,Bivalvia,Paleoheterodonta,Unionidae,Unio,propecoelatus,,,"Unio propecoelatus de Gregorio, 1914",No,"Pegias fabula (Lea, I., 1839)","Unio propecoelatus de Gregorio, 1914",588901
Unio propesulcatus,Bivalvia,Paleoheterodonta,Unionidae,Unio,propesulcatus,,,"Unio propesulcatus de Gregorio, 1914",No,"Epioblasma obliquata (Rafinesque, 1820)","Unio propesulcatus de Gregorio, 1914",585808
Unio propeverutus,Bivalvia,Paleoheterodonta,Unionidae,Unio,propeverutus,,,"Unio propeverutus de Gregorio, 1914",No,"Eurynia dilatata (Rafinesque, 1820)","Unio propeverutus de Gregorio, 1914",585974
Unio propinquus,Bivalvia,Paleoheterodonta,Unionidae,Unio,propinquus,,,"Unio propinquus Lea, I., 1857",No,"Epioblasma propinqua (Lea, I., 1857)","Unio propinquus Lea, I., 1857",210083
Unio proprius,Bivalvia,Paleoheterodonta,Unionidae,Unio,proprius,,,"Unio proprius Lea, I., 1865",No,"Villosa umbrans (Lea, I., 1857)","Unio proprius Lea, I., 1865",588435
Unio protensus,Bivalvia,Paleoheterodonta,Unionidae,Unio,protensus,,,"Unio protensus Lea, I., 1865",No,"Elliptio complanata (Lightfoot, 1786)","Unio protensus Lea, I., 1865",585178
Unio provancheriana,Bivalvia,Paleoheterodonta,Unionidae,Unio,provancheriana,,,"Unio (Arconaia) provancheriana Pilsbry, 1890",No,"Elliptio complanata (Lightfoot, 1786)","Unio (Arconaia) provancheriana Pilsbry, 1890",585208
Unio proximus,Bivalvia,Paleoheterodonta,Unionidae,Unio,proximus,,,"Unio proximus Lea, I., 1853",No,"Villosa lienosa (Conrad, 1834)","Unio proximus Lea, I., 1853",588296
Unio pudicus,Bivalvia,Paleoheterodonta,Unionidae,Unio,pudicus,,,"Unio pudicus Lea, I., 1860",No,"Pleuronaia barnesiana (Lea, I., 1839)","Unio pudicus Lea, I., 1860",587296
Unio pulcher,Bivalvia,Paleoheterodonta,Unionidae,Unio,pulcher,,,"Unio pulcher Lea, I., 1839",No,"Villosa taeniata (Conrad, 1834)","Unio pulcher Lea, I., 1839",588394
Unio pullatis,Bivalvia,Paleoheterodonta,Unionidae,Unio,pullatis,,,"Unio pullatis Lea, I., 1856",No,"Elliptio pullata (Lea, I., 1856)","Unio pullatis Lea, I., 1856",207968
Unio pullatus,Bivalvia,Paleoheterodonta,Unionidae,Unio,pullatus,,,"Unio pullatus (Lea, I., 1856)",No,"Elliptio pullata (Lea, I., 1856)","Unio pullatis Lea, I., 1856",585573
Unio pullatus majusculus,Bivalvia,Paleoheterodonta,Unionidae,Unio,pullatus,majusculus,,"Unio pullatus majusculus de Gregorio, 1914",No,"Elliptio complanata (Lightfoot, 1786)","Unio pullatus majusculus de Gregorio, 1914",585209
Unio pullescens,Bivalvia,Paleoheterodonta,Unionidae,Unio,pullescens,,,"Unio pullescens Lea, I., 1845",No,"Lampsilis straminea (Conrad, 1834)","Unio pullescens Lea, I., 1845",586472
Unio pullus,Bivalvia,Paleoheterodonta,Unionidae,Unio,pullus,,,"Unio pullus Conrad, 1838",No,"Toxolasma pullus (Conrad, 1838)","Unio pullus Conrad, 1838",587944
Unio pulvinulus,Bivalvia,Paleoheterodonta,Unionidae,Unio,pulvinulus,,,"Unio pulvinulus Lea, I., 1845",No,"Pleurobema rubellum (Conrad, 1834)","Unio pulvinulus Lea, I., 1845",587178
Unio pumilus,Bivalvia,Paleoheterodonta,Unionidae,Unio,pumilus,,,"Unio pumilus Lea, I., 1839",No,"Fusconaia masoni (Conrad, 1834)","Unio pumilus Lea, I., 1839",586098
Unio punctatus,Bivalvia,Paleoheterodonta,Unionidae,Unio,punctatus,,,"Unio punctatus Lea, I., 1865",No,"Villosa taeniata (Conrad, 1834)","Unio punctatus Lea, I., 1865",588406
Unio puniceus,Bivalvia,Paleoheterodonta,Unionidae,Unio,puniceus,,,"Unio puniceus Haldeman, 1842",No,"Villosa iris (Lea, I., 1830)","Unio puniceus Haldeman, 1842",588253
Unio purpurascens,Bivalvia,Paleoheterodonta,Unionidae,Unio,purpurascens,,,"Unio purpurascens Lamarck, 1819",No,"Elliptio complanata (Lightfoot, 1786)","Unio purpurascens Lamarck, 1819",585060
Unio purpurata,Bivalvia,Paleoheterodonta,Unionidae,Unio,purpurata,,,"Unio purpurata Lamarck, 1819",No,"Potamilus purpuratus (Lamarck, 1819)","Unio purpurata Lamarck, 1819",587429
Unio purpurellus,Bivalvia,Paleoheterodonta,Unionidae,Unio,purpurellus,,,"Unio purpurellus Lea, I., 1857",No,"Elliptio purpurella (Lea, I., 1857)","Unio purpurellus Lea, I., 1857",209337
Unio purpureus,Bivalvia,Paleoheterodonta,Unionidae,Unio,purpureus,,,"Unio purpureus Say, 1817",No,"Elliptio complanata (Lightfoot, 1786)","Unio purpureus Say, 1817",585055
Unio purus,Bivalvia,Paleoheterodonta,Unionidae,Unio,purus,,,"Unio (Elliptio) purus (Lea, I., 1858)",No,"Elliptio complanata (Lightfoot, 1786)","Unio purus Lea, I., 1858",585127
Unio purus,Bivalvia,Paleoheterodonta,Unionidae,Unio,purus,,,"Unio purus Lea, I., 1858",No,"Elliptio complanata (Lightfoot, 1786)","Unio purus Lea, I., 1858",585125
Unio pusillus,Bivalvia,Paleoheterodonta,Unionidae,Unio,pusillus,,,"Unio (Elliptio) pusillus (Barnes, 1840)",No,"Elliptio congaraea (Lea, I., 1834)","Unio pusillus Lea, I., 1840",585230
Unio pusillus,Bivalvia,Paleoheterodonta,Unionidae,Unio,pusillus,,,"Unio pusillus Lea, I., 1840",No,"Elliptio congaraea (Lea, I., 1834)","Unio pusillus Lea, I., 1840",208825
Unio pustulata,Bivalvia,Paleoheterodonta,Unionidae,Unio,pustulata,,,"Unio pustulata Swainson, 1840",No,"Tritogonia verrucosa (Rafinesque, 1820)","Unio pustulata Swainson, 1840",587978
Unio pustulatus,Bivalvia,Paleoheterodonta,Unionidae,Unio,pustulatus,,,"Unio pustulatus Lea, I., 1834",No,"Rotundaria nodulata (Rafinesque, 1820)","Unio pustulatus Lea, I., 1834",587690
Unio pustulosus,Bivalvia,Paleoheterodonta,Unionidae,Unio,pustulosus,,,"Unio pustulosus Lea, I., 1834",No,"Rotundaria pustulosa (Lea, I., 1834)","Unio pustulosus Lea, I., 1834",208240
Unio pybasii,Bivalvia,Paleoheterodonta,Unionidae,Unio,pybasii,,,"Unio pybasii Lea, I., 1858",No,"Villosa vanuxemensis (Lea, I., 1839)","Unio pybasii Lea, I., 1858",588452
Unio pygamaeus,Bivalvia,Paleoheterodonta,Unionidae,Unio,pygamaeus,,,"Unio (Elliptio) pygamaeus (Lea, I., 1853)",No,"Lasmigona subviridis (Conrad, 1835)","Unio pygmaeus Lea, I., 1853",588878
Unio pygmaeus,Bivalvia,Paleoheterodonta,Unionidae,Unio,pygmaeus,,,"Unio (Elliptio) pygmaeus (Lea, I., 1853)",No,"Lasmigona subviridis (Conrad, 1835)","Unio pygmaeus Lea, I., 1853",588881
Unio pygmaeus,Bivalvia,Paleoheterodonta,Unionidae,Unio,pygmaeus,,,"Unio pygmaeus Lea, I., 1853",No,"Lasmigona subviridis (Conrad, 1835)","Unio pygmaeus Lea, I., 1853",588877
Unio pyramidatus,Bivalvia,Paleoheterodonta,Unionidae,Unio,pyramidatus,,,"Unio pyramidatus Lea, I., 1834",No,"Pleurobema rubrum (Rafinesque, 1820)","Unio pyramidatus Lea, I., 1834",199268
Unio pyriformis,Bivalvia,Paleoheterodonta,Unionidae,Unio,pyriformis,,,"Unio pyriformis Lea, I., 1857",No,"Pleurobema pyriforme (Lea, I., 1857)","Unio pyriformis Lea, I., 1857",587142
Unio quadrans,Bivalvia,Paleoheterodonta,Unionidae,Unio,quadrans,,,"Unio quadrans Lea, I., 1860",No,"Glebula rotundata (Lamarck, 1819)","Unio quadrans Lea, I., 1860",586195
Unio quadratus,Bivalvia,Paleoheterodonta,Unionidae,Unio,quadratus,,,"Unio quadratus Lea, I., 1859",No,"Elliptio fumata (Lea, I., 1857)","Unio quadratus Lea, I., 1859",207937
Unio quadrilaterus,Bivalvia,Paleoheterodonta,Unionidae,Unio,quadrilaterus,,,"Unio quadrilaterus Lea, I., 1863",No,"Elliptio complanata (Lightfoot, 1786)","Unio quadrilaterus Lea, I., 1863",196533
Unio quadrulus,Bivalvia,Paleoheterodonta,Unionidae,Unio,quadrulus,,,"Unio quadrulus (Rafinesque, 1820)",No,"Quadrula quadrula (Rafinesque, 1820)","Obliquaria (Quadrula) quadrula Rafinesque, 1820",207524
Unio quintardii,Bivalvia,Paleoheterodonta,Unionidae,Unio,quintardii,,,"Unio quintardii Cragin, 1887",No,"Amblema plicata (Say, 1817)","Unio quintardii Cragin, 1887",584880
