MATCH,Class,Order,Family,Genus,species,subspecies,form/variety,FullName,Currently Accepted?,Accepted Name,Original Name,irn
Dysnomia lenior,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,lenior,,,"Dysnomia lenior (Lea, I., 1843)",No,"Epioblasma lenior (Lea, I., 1843)","Unio lenior Lea, I., 1843",585759
Dysnomia lewisii,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,lewisii,,,"Dysnomia lewisii (Walker, 1910)",No,"Epioblasma lewisii (Walker, 1910)","Truncilla lewisii Walker, 1910",585768
Dysnomia metastriata,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,metastriata,,,"Dysnomia (Penita) metastriata (Conrad, 1838)",No,"Epioblasma metastriata (Conrad, 1838)","Unio metastriatus Conrad, 1838",182630
Dysnomia metastriata,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,metastriata,,,"Dysnomia (Truncillopsis) metastriata (Conrad, 1838)",No,"Epioblasma metastriata (Conrad, 1838)","Unio metastriatus Conrad, 1838",585773
Dysnomia metastriata,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,metastriata,,,"Dysnomia metastriata (Conrad, 1838)",No,"Epioblasma metastriata (Conrad, 1838)","Unio metastriatus Conrad, 1838",585772
Dysnomia modicella,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,modicella,,,"Dysnomia (Penita) modicella (Lea, I., 1859)",No,"Epioblasma othcaloogensis (Lea, I., 1857)","Unio modicellus Lea, I., 1859",182631
Dysnomia modicella,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,modicella,,,"Dysnomia modicella (Lea, I., 1859)",No,"Epioblasma othcaloogensis (Lea, I., 1857)","Unio modicellus Lea, I., 1859",585815
Dysnomia nodicella,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,nodicella,,,"Dysnomia nodicella (Lea, I., 1859)",No,"Epioblasma othcaloogensis (Lea, I., 1857)","Unio modicellus Lea, I., 1859",585817
Dysnomia obliquata,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,obliquata,,,"Dysnomia obliquata (Rafinesque, 1820)",No,"Epioblasma obliquata (Rafinesque, 1820)","Obliquaria (Scalenaria) obliquata Rafinesque, 1820",585784
Dysnomia obliquata obliquata,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,obliquata,obliquata,,"Dysnomia obliquata obliquata (Rafinesque, 1820)",No,"Epioblasma obliquata (Rafinesque, 1820)","Obliquaria (Scalenaria) obliquata Rafinesque, 1820",585785
Dysnomia othcaloogensis,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,othcaloogensis,,,"Dysnomia (Penita) othcaloogensis (Lea, I., 1857)",No,"Epioblasma othcaloogensis (Lea, I., 1857)","Unio othcaloogensis Lea, I., 1857",585812
Dysnomia penita,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,penita,,,"Dysnomia (Penita) penita (Conrad, 1834)",No,"Epioblasma penita (Conrad, 1834)","Unio penitus Conrad, 1834",585825
Dysnomia penita,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,penita,,,"Dysnomia penita (Conrad, 1834)",No,"Epioblasma penita (Conrad, 1834)","Unio penitus Conrad, 1834",210082
Dysnomia perplexa,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,perplexa,,,"Dysnomia perplexa (Lea, I., 1834)",No,"Epioblasma torulosa (Rafinesque, 1820)","Unio perplexus Lea, I., 1834",210091
Dysnomia perplexa rangiana,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,perplexa,rangiana,,"Dysnomia perplexa rangiana (Lea, I., 1839)",No,"Epioblasma torulosa (Rafinesque, 1820)","Unio rangianus Lea, I., 1839",119268
Dysnomia personata,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,personata,,,"Dysnomia (Pilea) personata (Say, 1829)",No,"Epioblasma personata (Say, 1829)","Unio personatus Say, 1829",585835
Dysnomia personata,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,personata,,,"Dysnomia personata (Say, 1829)",No,"Epioblasma personata (Say, 1829)","Unio personatus Say, 1829",585834
Dysnomia propinqua,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,propinqua,,,"Dysnomia (Torulosa) propinqua (Lea, I., 1857)",No,"Epioblasma propinqua (Lea, I., 1857)","Unio propinquus Lea, I., 1857",182633
Dysnomia propinqua,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,propinqua,,,"Dysnomia propinqua (Lea, I., 1857)",No,"Epioblasma propinqua (Lea, I., 1857)","Unio propinquus Lea, I., 1857",585848
Dysnomia rangiana,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,rangiana,,,"Dysnomia (Torulosa) rangiana (Lea, I., 1839)",No,"Epioblasma torulosa (Rafinesque, 1820)","Unio rangianus Lea, I., 1839",585894
Dysnomia rangiana,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,rangiana,,,"Dysnomia rangiana (Lea, I., 1839)",No,"Epioblasma torulosa (Rafinesque, 1820)","Unio rangianus Lea, I., 1839",119267
Dysnomia sampsoni,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,sampsoni,,,"Dysnomia sampsoni (Lea, I., 1862)",No,"Epioblasma sampsonii (Lea, I., 1862)","Unio sampsonii Lea, I., 1862",585857
Dysnomia sampsonii,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,sampsonii,,,"Dysnomia (Torulosa) sampsonii (Lea, I., 1862)",No,"Epioblasma sampsonii (Lea, I., 1862)","Unio sampsonii Lea, I., 1862",585859
Dysnomia stewardsoni,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,stewardsoni,,,"Dysnomia stewardsoni (Lea, I., 1853)",No,"Epioblasma stewardsonii (Lea, I., 1853)","Unio stewardsonii Lea, I., 1853",585865
Dysnomia stewardsonii,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,stewardsonii,,,"Dysnomia stewardsonii (Lea, I., 1853)",No,"Epioblasma stewardsonii (Lea, I., 1853)","Unio stewardsonii Lea, I., 1853",210084
Dysnomia sulcata,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,sulcata,,,"Dysnomia (Pilea) sulcata (Lea, I., 1830)",No,"Epioblasma obliquata (Rafinesque, 1820)","Unio sulcatus Lea, I., 1830",182632
Dysnomia sulcata pectita,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,sulcata,pectita,,"Dysnomia (Pilea) sulcata pectita (Conrad, 1854)",No,"Epioblasma obliquata (Rafinesque, 1820)","Unio pectitus Conrad, 1854",585806
Dysnomia sulcata,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,sulcata,,,"Dysnomia (Scalenilla) sulcata (Lea, I., 1830)",No,"Epioblasma obliquata (Rafinesque, 1820)","Unio sulcatus Lea, I., 1830",585793
Dysnomia sulcata delicata,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,sulcata,delicata,,"Dysnomia (Scalenilla) sulcata delicata (Simpson, 1900)",No,"Epioblasma torulosa (Rafinesque, 1820)","Truncilla (Scalenaria) sulcata delicata Simpson, 1900",585909
Dysnomia sulcata,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,sulcata,,,"Dysnomia sulcata (Lea, I., 1830)",No,"Epioblasma obliquata (Rafinesque, 1820)","Unio sulcatus Lea, I., 1830",585792
Dysnomia sulcata delicata,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,sulcata,delicata,,"Dysnomia sulcata delicata (Simpson, 1900)",No,"Epioblasma torulosa (Rafinesque, 1820)","Truncilla (Scalenaria) sulcata delicata Simpson, 1900",585908
Dysnomia sulcata perobliqua,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,sulcata,perobliqua,,"Dysnomia sulcata perobliqua (Conrad, 1836)",No,"Epioblasma obliquata (Rafinesque, 1820)","Unio gibbosus perobliquus Conrad, 1836",585804
Dysnomia sulcata sulcata,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,sulcata,sulcata,,"Dysnomia sulcata sulcata (Lea, I., 1830)",No,"Epioblasma obliquata (Rafinesque, 1820)","Unio sulcatus Lea, I., 1830",585796
Dysnomia torulosa,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,torulosa,,,"Dysnomia (Pilea) torulosa (Rafinesque, 1820)",No,"Epioblasma torulosa (Rafinesque, 1820)","Amblema torulosa Rafinesque, 1820",585878
Dysnomia torulosa gubernaculum,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,torulosa,gubernaculum,,"Dysnomia (Pilea) torulosa gubernaculum (Reeve, 1865)",No,"Epioblasma torulosa (Rafinesque, 1820)","Unio gubernaculum Reeve, 1865",585904
Dysnomia torulosa propinqua,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,torulosa,propinqua,,"Dysnomia (Pilea) torulosa propinqua (Lea, I., 1857)",No,"Epioblasma propinqua (Lea, I., 1857)","Unio propinquus Lea, I., 1857",585853
Dysnomia torulosa,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,torulosa,,,"Dysnomia (Torulosa) torulosa (Rafinesque, 1820)",No,"Epioblasma torulosa (Rafinesque, 1820)","Amblema torulosa Rafinesque, 1820",182634
Dysnomia torulosa cincinnatiensis,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,torulosa,cincinnatiensis,,"Dysnomia (Torulosa) torulosa cincinnatiensis (Lea, I., 1840)",No,"Epioblasma cincinnatiensis (Lea, I., 1840)","Unio cincinnatiensis Lea, I., 1840",585704
Dysnomia torulosa gubernaculum,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,torulosa,gubernaculum,,"Dysnomia (Torulosa) torulosa gubernaculum (Reeve, 1865)",No,"Epioblasma torulosa (Rafinesque, 1820)","Unio gubernaculum Reeve, 1865",585905
Dysnomia torulosa rangiana,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,torulosa,rangiana,,"Dysnomia (Torulosa) torulosa rangiana (Lea, I., 1839)",No,"Epioblasma torulosa (Rafinesque, 1820)","Unio rangianus Lea, I., 1839",585897
Dysnomia torulosa torulosa,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,torulosa,torulosa,,"Dysnomia (Torulosa) torulosa torulosa (Rafinesque, 1820)",No,"Epioblasma torulosa (Rafinesque, 1820)","Amblema torulosa Rafinesque, 1820",585883
Dysnomia torulosa,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,torulosa,,,"Dysnomia torulosa (Rafinesque, 1820)",No,"Epioblasma torulosa (Rafinesque, 1820)","Amblema torulosa Rafinesque, 1820",585877
Dysnomia torulosa gubernaculum,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,torulosa,gubernaculum,,"Dysnomia torulosa gubernaculum (Reeve, 1865)",No,"Epioblasma torulosa (Rafinesque, 1820)","Unio gubernaculum Reeve, 1865",585903
Dysnomia torulosa propinqua,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,torulosa,propinqua,,"Dysnomia torulosa propinqua (Lea, I., 1857)",No,"Epioblasma propinqua (Lea, I., 1857)","Unio propinquus Lea, I., 1857",585852
Dysnomia torulosa rangiana,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,torulosa,rangiana,,"Dysnomia torulosa rangiana (Lea, I., 1839)",No,"Epioblasma torulosa (Rafinesque, 1820)","Unio rangianus Lea, I., 1839",585895
Dysnomia torulosa torulosa,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,torulosa,torulosa,,"Dysnomia torulosa torulosa (Rafinesque, 1820)",No,"Epioblasma torulosa (Rafinesque, 1820)","Amblema torulosa Rafinesque, 1820",585882
Dysnomia triquetra,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,triquetra,,,"Dysnomia (Truncillopsis) triquetra (Rafinesque, 1820)",No,"Epioblasma triquetra (Rafinesque, 1820)","Truncilla triqueter Rafinesque, 1820",182635
Dysnomia triquetra,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,triquetra,,,"Dysnomia triquetra (Rafinesque, 1820)",No,"Epioblasma triquetra (Rafinesque, 1820)","Truncilla triqueter Rafinesque, 1820",182626
Dysnomia turgidula,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,turgidula,,,"Dysnomia (Capsaeformis) turgidula (Lea, I., 1858)",No,"Epioblasma turgidula (Lea, I., 1858)","Unio turgidulus Lea, I., 1858",182628
Dysnomia turgidula,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,turgidula,,,"Dysnomia (Pilea) turgidula (Lea, I., 1858)",No,"Epioblasma turgidula (Lea, I., 1858)","Unio turgidulus Lea, I., 1858",585929
Dysnomia turgidula,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,turgidula,,,"Dysnomia turgidula (Lea, I., 1858)",No,"Epioblasma turgidula (Lea, I., 1858)","Unio turgidulus Lea, I., 1858",187504
Dysnomia walkeri,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,walkeri,,,"Dysnomia (Capsaeformis) walkeri (Wilson & Clark, 1914)",No,"Epioblasma florentina (Lea, I., 1857)","Truncilla walkeri Wilson & Clark, 1914",209435
Dysnomia walkeri,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,walkeri,,,"Dysnomia walkeri (Wilson & Clark, 1914)",No,"Epioblasma florentina (Lea, I., 1857)","Truncilla walkeri Wilson & Clark, 1914",585732
,Bivalvia,Paleoheterodonta,Unionidae,Dysnomia,,,,"Dysnomia Agassiz, 1852",No,"Epioblasma Rafinesque, 1831",,585655
,Bivalvia,Paleoheterodonta,Unionidae,Elasmigena,,,,"Elasmigena Agassiz, 1846",No,"Lasmigona sp. Rafinesque, 1831",,588770
,Bivalvia,Paleoheterodonta,Unionidae,Elasmogena,,,,"Elasmogena Agassiz, 1846",No,"Lasmigona sp. Rafinesque, 1831",,588769
,Bivalvia,Paleoheterodonta,Unionidae,Elasmogona,,,,"Elasmogona Agassiz, 1846",No,"Lasmigona sp. Rafinesque, 1831",,588768
Ellipsaria clintonensis,Bivalvia,Paleoheterodonta,Unionidae,Ellipsaria,clintonensis,,,"Ellipsaria clintonensis (Simpson, 1900)",No,"Ptychobranchus occidentalis (Conrad, 1836)","Ptychobranchus clintonensis Simpson, 1900",119305
Ellipsaria ligamentina,Bivalvia,Paleoheterodonta,Unionidae,Ellipsaria,ligamentina,,,"Ellipsaria ligamentina (Lamarck, 1819)",No,"Ortmanniana ligamentina (Lamarck, 1819)","Unio ligamentina Lamarck, 1819",586796
Ellipsaria ligamentina,Bivalvia,Paleoheterodonta,Unionidae,Ellipsaria,ligamentina,,,"Ellipsaria ligamentina (Lamarck, 1823)",No,"Ortmanniana ligamentina (Lamarck, 1819)","Unio ligamentina Lamarck, 1819",117813
Ellipsaria lineolata,Bivalvia,Paleoheterodonta,Unionidae,Ellipsaria,lineolata,,,"Ellipsaria lineolata (Rafinesque, 1820)",Yes,"Ellipsaria lineolata (Rafinesque, 1820)","Obliquaria (Plagiola) lineolata Rafinesque, 1820",169357
,Bivalvia,Paleoheterodonta,Unionidae,Ellipsaria,,,,"Ellipsaria Rafinesque, 1820",Yes,"Ellipsaria Rafinesque, 1820",,584967
Elliptio ahenea,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,ahenea,,,"Elliptio ahenea (Lea, I., 1843)",Yes,"Elliptio ahenea (Lea, I., 1843)","Unio aheneus Lea, I., 1843",169358
Elliptio ahenea ahenea,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,ahenea,ahenea,,"Elliptio ahenea ahenea (Lea, I., 1843)",No,"Elliptio ahenea (Lea, I., 1843)","Unio aheneus Lea, I., 1843",207567
Elliptio ahenea oscari,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,ahenea,oscari,,"Elliptio ahenea oscari (Wright, B.H., 1892)",No,"Elliptio jayensis (Lea, I., 1839)","Unio oscari Wright, B.H., 1892",207565
Elliptio aheneus,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,aheneus,,,"Elliptio aheneus (Lea, I., 1843)",No,"Elliptio ahenea (Lea, I., 1843)","Unio aheneus Lea, I., 1843",209307
Elliptio aheneus oscari,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,aheneus,oscari,,"Elliptio aheneus oscari (Wright, B.H., 1892)",No,"Elliptio jayensis (Lea, I., 1839)","Unio oscari Wright, B.H., 1892",209228
Elliptio angustata,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,angustata,,,"Elliptio angustata (Lea, I., 1834)",Yes,"Elliptio angustata (Lea, I., 1834)","Unio angustatus Lea, I., 1834",169359
Elliptio angustata extensus,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,angustata,extensus,,"Elliptio angustata extensus (Lea, I., 1857)",No,"Elliptio pullata (Lea, I., 1856)","Unio extensus Lea, I., 1857",207568
Elliptio anthonyi,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,anthonyi,,,"Elliptio anthonyi (Lea, I., 1861)",No,"Elliptio monroensis (Lea, I., 1843)","Unio anthonyi Lea, I., 1861",209033
Elliptio aquilus,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,aquilus,,,"Elliptio aquilus (Lea, I., 1857)",No,"Elliptio pullata (Lea, I., 1856)","Unio aquilus Lea, I., 1857",209259
Elliptio aratus,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,aratus,,,"Elliptio aratus (Conrad, 1849)",No,"Elliptoideus sloatianus (Lea, I., 1840)","Unio aratus Conrad, 1849",117827
Elliptio arca,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,arca,,,"Elliptio arca (Conrad, 1834)",Yes,"Elliptio arca (Conrad, 1834)","Unio arcus Conrad, 1834",169360
Elliptio arctata,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,arctata,,,"Elliptio arctata (Conrad, 1834)",Yes,"Elliptio arctata (Conrad, 1834)","Unio arctatus Conrad, 1834",169361
Elliptio arctata tortivus,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,arctata,tortivus,,"Elliptio arctata tortivus (Lea, I., 1840)",No,"Elliptio arctata (Conrad, 1834)","Unio tortivus Lea, I., 1840",209300
Elliptio barrattii,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,barrattii,,,"Elliptio barrattii (Lea, I., 1853)",No,"Elliptio icterina (Conrad, 1834)","Unio barrattii Lea, I., 1853",207980
Elliptio beadleanus,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,beadleanus,,,"Elliptio beadleanus (Lea, I., 1861)",No,"Pleurobema beadleianum (Lea, I., 1861)","Unio beadleianus Lea, I., 1861",514742
Elliptio beadleiana,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,beadleiana,,,"Elliptio beadleiana (Lea, I., 1861)",No,"Pleurobema beadleianum (Lea, I., 1861)","Unio beadleianus Lea, I., 1861",586906
Elliptio bissellianus,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,bissellianus,,,"Elliptio (Uniomerus) bissellianus (Lea, I., 1867)",No,"Uniomerus carolinianus (Bosc, 1801)","Unio bisselianus Lea, I., 1867",588052
Elliptio blandingianus,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,blandingianus,,,"Elliptio (Uniomerus) blandingianus (Lea, I., 1834)",No,"Uniomerus carolinianus (Bosc, 1801)","Unio blandingianus Lea, I., 1834",182649
Elliptio buckleyi,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,buckleyi,,,"Elliptio buckleyi (Lea, I., 1843)",No,"Elliptio jayensis (Lea, I., 1839)","Unio buckleyi Lea, I., 1843",169362
Elliptio buckleyi buckleyi,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,buckleyi,buckleyi,,"Elliptio buckleyi buckleyi (Lea, I., 1843)",No,"Elliptio jayensis (Lea, I., 1839)","Unio buckleyi Lea, I., 1843",207684
Elliptio buckleyi dalli,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,buckleyi,dalli,,"Elliptio buckleyi dalli (Wright, B.H., 1888)",No,"Elliptio jayensis (Lea, I., 1839)","Unio dalli Wright, B.H., 1888",207760
Elliptio buckleyi orcutti,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,buckleyi,orcutti,,"Elliptio buckleyi orcutti (Wright, S.H., 1888)",No,"Elliptio jayensis (Lea, I., 1839)","Unio orcuttii Wright, S.H., 1888",207753
Elliptio buckleyi pinei,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,buckleyi,pinei,,"Elliptio buckleyi pinei (Wright, B.H., 1897)",No,"Elliptio jayensis (Lea, I., 1839)","Unio pinei Wright, B.H., 1897",207759
Elliptio buddianus,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,buddianus,,,"Elliptio buddianus (Lea, I., 1843)",No,"Elliptio jayensis (Lea, I., 1839)","Unio buddianus Lea, I., 1843",585423
Elliptio buddianus dalli,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,buddianus,dalli,,"Elliptio buddianus dalli (Wright, B.H., 1888)",No,"Elliptio jayensis (Lea, I., 1839)","Unio dalli Wright, B.H., 1888",585434
Elliptio buddianus hartwrightii,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,buddianus,hartwrightii,,"Elliptio buddianus hartwrightii (Wright, B.H., 1896)",No,"Elliptio monroensis (Lea, I., 1843)","Unio hartwrightii Wright, B.H., 1896",585529
Elliptio buddianus monroensis,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,buddianus,monroensis,,"Elliptio buddianus monroensis (Lea, I., 1843)",No,"Elliptio monroensis (Lea, I., 1843)","Unio monroensis Lea, I., 1843",585520
Elliptio buddianus orcuttii,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,buddianus,orcuttii,,"Elliptio buddianus orcuttii (Wright, S.H., 1888)",No,"Elliptio jayensis (Lea, I., 1839)","Unio orcuttii Wright, S.H., 1888",585446
Elliptio buddianus pinei,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,buddianus,pinei,,"Elliptio buddianus pinei (Wright, B.H., 1897)",No,"Elliptio jayensis (Lea, I., 1839)","Unio pinei Wright, B.H., 1897",585467
Elliptio burtchianus,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,burtchianus,,,"Elliptio burtchianus (Wright, S.H., 1897)",No,"Elliptio occulta (Lea, I., 1843)","Unio burtchianus Wright, S.H., 1897",208868
Elliptio buxtoni,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,buxtoni,,,"Elliptio buxtoni (Wright, B.H., 1897)",No,"Elliptio jayensis (Lea, I., 1839)","Unio buxtoni Wright, B.H., 1897",209305
Elliptio chipolaensis,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,chipolaensis,,,"Elliptio chipolaensis (Walker, 1905)",Yes,"Elliptio chipolaensis (Walker, 1905)","Unio chipolaensis Walker, 1905",169363
Elliptio cistellaeformis,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,cistellaeformis,,,"Elliptio cistellaeformis (Lea, I., 1863)",Yes,"Elliptio cistellaeformis (Lea, I., 1863)","Unio cistellaeformis Lea, I., 1863",169364
Elliptio cistelliformis,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,cistelliformis,,,"Elliptio cistelliformis (Lea, I., 1863)",No,"Elliptio cistellaeformis (Lea, I., 1863)","Unio cistellaeformis Lea, I., 1863",585045
Elliptio collina,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,collina,,,"Elliptio collina (Conrad, 1837)",No,"Pleurobema collina (Conrad, 1837)","Unio collinus Conrad, 1837",586940
Elliptio columbensis,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,columbensis,,,"Elliptio columbensis (Lea, I., 1857)",No,"Uniomerus columbensis (Lea, I., 1857)","Unio columbensis Lea, I., 1857",187519
Elliptio complanata,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,complanata,,,"Elliptio complanata (Lightfoot, 1786)",Yes,"Elliptio complanata (Lightfoot, 1786)","Mya complanata Lightfoot, 1786",169365
Elliptio complanata complanata,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,complanata,complanata,,"Elliptio complanata complanata (Lightfoot, 1786)",No,"Elliptio complanata (Lightfoot, 1786)","Mya complanata Lightfoot, 1786",169366
Elliptio complanatus,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,complanatus,,,"Elliptio (Elliptio) complanatus (Lightfoot, 1786)",No,"Elliptio complanata (Lightfoot, 1786)","Mya complanata Lightfoot, 1786",182641
Elliptio complanatus,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,complanatus,,,"Elliptio complanatus (Lightfoot, 1786)",No,"Elliptio complanata (Lightfoot, 1786)","Mya complanata Lightfoot, 1786",187520
Elliptio complanatus catawbensis,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,complanatus,catawbensis,,"Elliptio complanatus catawbensis (Lea, I., 1862)",No,"Elliptio complanata (Lightfoot, 1786)","Unio catawbensis Lea, I., 1862",207957
Elliptio complanatus complanatus,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,complanatus,complanatus,,"Elliptio complanatus complanatus (Lightfoot, 1786)",No,"Elliptio complanata (Lightfoot, 1786)","Mya complanata Lightfoot, 1786",187521
Elliptio complanatus cuvierianus,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,complanatus,cuvierianus,,"Elliptio complanatus cuvierianus (Lea, I., 1853)",No,"Elliptio complanata (Lightfoot, 1786)","Unio cuvierianus Lea, I., 1853",585087
Elliptio complanatus icterinus,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,complanatus,icterinus,,"Elliptio complanatus icterinus (Conrad, 1834)",No,"Elliptio icterina (Conrad, 1834)","Unio icterinus Conrad, 1834",207955
Elliptio complanatus jejunus,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,complanatus,jejunus,,"Elliptio complanatus jejunus (Lea, I., 1839)",No,"Elliptio complanata (Lightfoot, 1786)","Unio jejunus Lea, I., 1839",207943
Elliptio complanatus livingstonensis,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,complanatus,livingstonensis,,"Elliptio complanatus livingstonensis (Lea, I., 1863)",No,"Elliptio icterina (Conrad, 1834)","Unio livingstonensis Lea, I., 1863",207941
Elliptio complanatus northamptonensis,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,complanatus,northamptonensis,,"Elliptio complanatus northamptonensis (Lea, I., 1862)",No,"Elliptio complanata (Lightfoot, 1786)","Unio northamptonensis Lea, I., 1862",207972
Elliptio complanatus ocmulgeensis,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,complanatus,ocmulgeensis,,"Elliptio complanatus ocmulgeensis (Lea, I., 1861)",No,"Elliptio icterina (Conrad, 1834)","Unio ocmulgeensis Lea, I., 1861",207954
Elliptio complanatus plantii,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,complanatus,plantii,,"Elliptio complanatus plantii (Lea, I., 1857)",No,"Elliptio fumata (Lea, I., 1857)","Unio plantii Lea, I., 1857",585333
Elliptio complanatus pullatus,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,complanatus,pullatus,,"Elliptio complanatus pullatus (Lea, I., 1856)",No,"Elliptio pullata (Lea, I., 1856)","Unio pullatis Lea, I., 1856",207967
Elliptio complanatus quadrilaterus,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,complanatus,quadrilaterus,,"Elliptio complanatus quadrilaterus (Lea, I., 1863)",No,"Elliptio complanata (Lightfoot, 1786)","Unio quadrilaterus Lea, I., 1863",207913
Elliptio complanatus subinflatus,Bivalvia,Paleoheterodonta,Unionidae,Elliptio,complanatus,subinflatus,,"Elliptio complanatus subinflatus (Conrad, 1835)",No,"Elliptio complanata (Lightfoot, 1786)","Unio complanatus subinflatus Conrad, 1835",207868
