TAXON (to match to authority),ACCEPTED TAXON,ACCEPTED AUTHOR,SOURCE,Class,Order,Family,Subfamily
Dolomedes scriptus,Dolomedes scriptus,,World Spider Catalog,Arachnida,Araneae,Pisauridae,
Dolomedes sexpunctatus,Dolomedes triton,,World Spider Catalog,Arachnida,Araneae,Pisauridae,
Dolomedes striatus,Dolomedes striatus,,World Spider Catalog,Arachnida,Araneae,Pisauridae,
Dolomedes t. sexpunctatus,Dolomedes triton,,World Spider Catalog,Arachnida,Araneae,Pisauridae,
Dolomedes tenebrosus,Dolomedes tenebrosus,,World Spider Catalog,Arachnida,Araneae,Pisauridae,
Dolomedes tritou sexpunctatus,Dolomedes triton,,World Spider Catalog,Arachnida,Araneae,Pisauridae,
Dolomedes urinator,Dolomedes vittatus,,World Spider Catalog,Arachnida,Araneae,Pisauridae,
Drassodes sp.,Drassodes sp.,,World Spider Catalog,Arachnida,Araneae,Gnaphosidae,
Ebo pepinensis,Ebo pepinensis,,World Spider Catalog,Arachnida,Araneae,Philodromidae,
Emblyna scotta,Emblyna scotta,,World Spider Catalog,Arachnida,Araneae,Dictynidae,
Enoplognatha marmorata,Enoplognatha marmorata,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Epeira gemmoicles,Araneidae sp.,,Petra Sierwald,Arachnida,Araneae,Araneidae,
Euagrus sp.,Euagrus sp.,,World Spider Catalog,Arachnida,Araneae,Dipluridae,
Euryopis ,Euryopis sp.,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Euryopis funebris,Euryopis funebris,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Euryopis scriptipes,Euryopis scriptipes,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Eustala anastera,Eustala anastera,,World Spider Catalog,Arachnida,Araneae,Araneidae,
Frontinella communis,Frontinella communis,,World Spider Catalog,Arachnida,Araneae,Linyphiidae,Linyphiinae
Frontinella huachuca,Frontinella huachuca,,World Spider Catalog,Arachnida,Araneae,Linyphiidae,Linyphiinae
Gastercantha cancriformis,Gasteracantha cancriformis,,World Spider Catalog,Arachnida,Araneae,Araneidae,
Geolycosa missoiriensis,Geolycosa missouriensis,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Geolycosa missouriensis,Geolycosa missouriensis,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Geolycosa sp.,Geolycosa sp.,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Geolycosa wrighti,Geolycosa wrighti,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Geolycosa wrightii,Geolycosa wrighti,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Gladicosa sp.,Gladicosa sp.,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Glenognatha emertoni,Glenognatha emertoni,,World Spider Catalog,Arachnida,Araneae,Tetragnathidae,
Gnaphosa brumalis,Gnaphosa brumalis,,World Spider Catalog,Arachnida,Araneae,Gnaphosidae,
Habronattus coronatus,Habronattus coecatus,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Haplodrassus admes,Haplodrassus bicornis,,World Spider Catalog,Arachnida,Araneae,Gnaphosidae,
Haplodrassus sp.,Haplodrassus sp.,,World Spider Catalog,Arachnida,Araneae,Gnaphosidae,
Hentzia mitrata,Hentzia mitrata,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Hentzia palmarum,Hentzia palmarum,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Herpyllus convallis,Herpyllus convallis,,World Spider Catalog,Arachnida,Araneae,Gnaphosidae,
Herpyllus propinquus,Herpyllus propinquus,,World Spider Catalog,Arachnida,Araneae,Gnaphosidae,
Herpyllus sp.,Herpyllus sp.,,World Spider Catalog,Arachnida,Araneae,Gnaphosidae,
Hogna aspersa,Tigrosa aspersa,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Hogna helluo,Tigrosa helluo,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Hogna sp.,Hogna sp.,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Homalonychus sp.,Homalonychus sp.,,World Spider Catalog,Arachnida,Araneae,Homalonychidae,
Hypselistes florens,Hypselistes florens,,World Spider Catalog,Arachnida,Araneae,Linyphiidae,Erigoninae
Hyptiotes cavatus,Hyptiotes cavatus,,World Spider Catalog,Arachnida,Araneae,Uloboridae,
Icius hartii,Tutelina harti,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Kukulcania sp.,Kukulcania sp.,,World Spider Catalog,Arachnida,Araneae,Filistatidae,Filistatinae
Larinioides cornuta,Larinioides cornutus,"(Clerck, 1757)",Petra Sierwald,Arachnida,Araneae,Araneidae,
Larinioides geminata,Araneus geminatus,,Petra Sierwald,Arachnida,Araneae,Araneidae,
Larinioides patagiata,Larinioides patagiatus,"(Clerck, 1757)",Petra Sierwald,Arachnida,Araneae,Araneidae,
Larinioides thaddeus,Larinioides patagiatus,"(Clerck, 1757)",Petra Sierwald,Arachnida,Araneae,Araneidae,
Latrodectus curacaviensis,Latrodectus curacaviensis,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Latrodectus mactans,Latrodectus mactans,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Latrodectus mactans lexanus,Latrodectus mactans texanus,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Latrodectus sp.,Latrodectus sp.,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Leucauge venusta,Leucauge venusta,,World Spider Catalog,Arachnida,Araneae,Tetragnathidae,
Linyphia catalina,Linyphia catalina,,World Spider Catalog,Arachnida,Araneae,Linyphiidae,Linyphiinae
Linyphia sp.,Linyphia sp.,,World Spider Catalog,Arachnida,Araneae,Linyphiidae,Linyphiinae
Lithyphantes corollatus,Steatoda albomaculata,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Lithyphantes corrollatus,Steatoda albomaculata,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Lithyphantes sp.,Steatoda sp.,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Loxosceles arizonicus,Loxosceles arizonicus,,World Spider Catalog,Arachnida,Araneae,Sicariidae,
Loxosceles sp.,Loxosceles sp.,,World Spider Catalog,Arachnida,Araneae,Sicariidae,
Lycosa (frondicola),Hogna frondicola,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Lycosa (kochii),Gladicosa gulosa,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Lycosa (rabida),Rabidosa rabida,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Lycosa frondicola,Hogna frondicola,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Lycosa rabida,Rabidosa rabida,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Lycosa sp.,Lycosa sp.,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Lycosidae sp.,Lycosidae sp.,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Maevia vittata,Maevia inclemens,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Mallos sp.,Mallos sp.,,World Spider Catalog,Arachnida,Araneae,Dictynidae,
Mallos trivittatus,Mexitlia trivittata,,World Spider Catalog,Arachnida,Araneae,Dictynidae,
Mangora gibberosa,Mangora gibberosa,,World Spider Catalog,Arachnida,Araneae,Araneidae,
Mangora maculata,Mangora maculata,,World Spider Catalog,Arachnida,Araneae,Araneidae,
Mangora sp.,Mangora sp.,,World Spider Catalog,Arachnida,Araneae,Araneidae,
Marpissa californica,Platycryptus californicus,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Marpissa sp.,Marpissa sp.,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Marpissa undata,Platycryptus undatus,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Meta menardii,Meta menardi,,World Spider Catalog,Arachnida,Araneae,Tetragnathidae,
Meta sp.,Meta sp.,,World Spider Catalog,Arachnida,Araneae,Tetragnathidae,Motinae
Metacyrba sp.,Metacyrba sp.,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Metacyrba taeniola,Metacyrba taeniola,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Metaphidippus galathea,Pelegrina galathea,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Metaphidippus protervus,Pelegrina proterva,,World Spider Catalog,Arachnida,Araneae,Salticidae,
