TAXON (original),Phylum,Class,Order,Family,Genus,Genus (original from spreadsheet),Species,Species (original from spreadsheet),Subspecies,Subspecies (original from spreadsheet),Synonyms (old)
Drillidae sp.,Mollusca,Gastropoda,,Drillidae,,,,,,,
Dromus caperatus,Mollusca,Bivalvia,Unionoida,Unionidae,Dromus,D.[dromus],caperatus,caperatus,,,
Dromus dromas,Mollusca,Bivalvia,Unionoida,Unionidae,Dromus,D.[dromus],dromas,dromas,,,
Dromus dromas,Mollusca,Bivalvia,Unionoida,Unionidae,Dromus,D.[dromus],dromas,dromas,,,
Dromus dromus,Mollusca,Bivalvia,,Unionidae,Dromus,Dromus,dromus,dromus,,,
Drymaeus aurisleporis,Mollusca,Gastropoda,,Bulimulidae,Drymaeus,Drymaeus,aurisleporis,aurisleporis,,,
Drymaeus dealbatus,Mollusca,Gastropoda,,Bulimulidae,Drymaeus,Drymaeus,dealbatus,dealbatus,,,
Drymaeus dealbatus ragsdalei,Mollusca,Gastropoda,,Bulimulidae,Drymaeus,Drymaeus,dealbatus,dealbatus,ragsdalei,ragsdalei,
Drymaeus dominicus,Mollusca,Gastropoda,,Bulimulidae,Drymaeus,Drymaeus,dominicus,dominicus,,,
Drymaeus elongatus,Mollusca,Gastropoda,,Bulimulidae,Drymaeus,Drymaeus,elongatus,elongatus,,,
Drymaeus multilineatus,Mollusca,Gastropoda,,Bulimulidae,Drymaeus,Drymaeus,multilineatus,multilineatus,,,Bulimulus multilineatus 
Drymaeus multilineatus,Mollusca,Gastropoda,,Bulimulidae,Drymaeus,Drymaeus,multilineatus,multilineatus,,,
Drymaeus multilineatus,Mollusca,Gastropoda,,Bulimulidae,Drymaeus,Drymaeus,multilineatus,multilineatus,,,
Drymaeus multilineatus,Mollusca,Gastropoda,,Bulimulidae,Drymaeus,Drymaeus,multilineatus,multilineatus,,,
Drymaeus multilineatus,Mollusca,Gastropoda,,Bulimulidae,Drymaeus,Drymaeus,multilineatus,multilineatus,,,
Drymaeus sulphureus,Mollusca,Gastropoda,,Bulimulidae,Drymaeus,Drymaeus,sulphureus,sulphureus,,,
Echinarachinus excentricus,unk. invertebrate,,Clypeastroida,Scutellidae,Echinarachinus,Echinarachinus,excentricus,excentricus,,,
Echinarachinus excentricus,unk. invertebrate,,Clypeastroida,Scutellidae,Echinarachinus,Echinarachinus,excentricus,excentricus,,,
Echinarachinus excentricus,unk. invertebrate,,Clypeastroida,Scutellidae,Echinarachinus,Echinarachinus,excentricus,excentricus,,,
Echinarachinus excentricus,unk. invertebrate,,Clypeastroida,Scutellidae,Echinarachinus,Echinarachinus,excentricus,excentricus,,,
Echinarachinus excentricus,unk. invertebrate,,Clypeastroida,Scutellidae,Echinarachinus,Echinarachinus,excentricus,excentricus,,,
Echinarachinus excentricus,unk. invertebrate,,Clypeastroida,Scutellidae,Echinarachinus,Echinarachinus,excentricus,excentricus,,,
Echinarachinus excentricus,unk. invertebrate,,Clypeastroida,Scutellidae,Echinarachinus,Echinarachinus,excentricus,excentricus,,,
Echinarachinus excentricus,unk. invertebrate,,Clypeastroida,Scutellidae,Echinarachinus,Echinarachinus,excentricus,excentricus,,,
Echinarachinus excentricus,unk. invertebrate,,Clypeastroida,Scutellidae,Echinarachinus,Echinarachinus,excentricus,excentricus,,,
Echinarachinus excentricus,unk. invertebrate,,Clypeastroida,Scutellidae,Echinarachinus,Echinarachinus,excentricus,excentricus,,,
Echinarachinus parma,unk. invertebrate,,Clypeastroida,Scutellidae,Echinarachinus,Echinarachinus,parma,parma,,,
Echinarachinus parma,unk. invertebrate,,Clypeastroida,Scutellidae,Echinarachinus,Echinarachinus,parma,parma,,,
Echinarachinus parma,unk. invertebrate,,Clypeastroida,Scutellidae,Echinarachinus,Echinarachinus,parma,parma,,,
Echinarachinus parma,unk. invertebrate,,Clypeastroida,Scutellidae,Echinarachinus,Echinarachinus,parma,parma,,,
Echinarachinus parma,unk. invertebrate,,Clypeastroida,Scutellidae,Echinarachinus,Echinarachinus,parma,parma,,,
Echinarachinus parma,unk. invertebrate,,Clypeastroida,Scutellidae,Echinarachinus,Echinarachinus,parma,parma,,,
Echinarachinus parma,unk. invertebrate,,Clypeastroida,Scutellidae,Echinarachinus,Echinarachinus,parma,parma,,,
Echinarachnius sp.,unk. invertebrate,,Clypeastroida,Scutellidae,Echinarachnius,Echinarachnius,,,,,
Echinaster sentus,unk. invertebrate,,,Echinasteridae,Echinaster,Echinaster,sentus,sentus,,,
Echinaster sentus,unk. invertebrate,,,Echinasteridae,Echinaster,Echinaster,sentus,sentus,,,
Echinaster sentus,unk. invertebrate,,,Echinasteridae,Echinaster,Echinaster,sentus,sentus,,,
Echinatus rosaceus,unk. invertebrate,,,,Echinatus,Echinatus,rosaceus,rosaceus,,,
Echinatus rosaceus,unk. invertebrate,,,,Echinatus,Echinatus,rosaceus,rosaceus,,,
Echininus nodulosus,Mollusca,Gastropoda,,Littorinidae,Echininus,Echininus,nodulosus,nodulosus,,,
Echininus nodulosus,Mollusca,Gastropoda,,Littorinidae,Echininus,Echininus,nodulosus,nodulosus,,,
Echininus nodulosus,Mollusca,Gastropoda,,Littorinidae,Echininus,Echininus,nodulosus,nodulosus,,,
Echinius nodulosa,Mollusca,Gastropoda,,Littorinidae,Echinius,Echinius,nodulosa,nodulosa,,,"Echininus nodulosus (Pfeiffer, 1839)"
Echinochama arcinella,Mollusca,Bivalvia,,Chamidae,Echinochama,Echinochama,arcinella,arcinella,,,Chama
Echinochama arcinella,Mollusca,Bivalvia,,Chamidae,Echinochama,Echinochama,arcinella,arcinella,,,
Echinochama arcinella,Mollusca,Bivalvia,,Chamidae,Echinochama,Echinochama,arcinella,arcinella,,,
Echinochama arcinella,Mollusca,Bivalvia,,Chamidae,Echinochama,Echinochama,arcinella,arcinella,,,
Echinochama arcinella,Mollusca,Bivalvia,,Chamidae,Echinochama,Echinochama,arcinella,arcinella,,,
Echinometra subangularis,unk. invertebrate,,Carnarodonta,Echinometridae,Echinometra,Echinometra,subangularis,subangularis,,,
Elima athleta,Mollusca,Gastropoda,,Pleuroceridae,Elima,Elima,athleta,athleta,,,Goniobasis
Elima brevispira,Mollusca,Gastropoda,,Pleuroceridae,Elima,Elima,brevispira,brevispira,,,Goniobasis
Elima ellipsoides,Mollusca,Gastropoda,,Pleuroceridae,Elima,Elima,ellipsoides,ellipsoides,,,Goniobasis
Elima gracilis,Mollusca,Gastropoda,,Pleuroceridae,Elima,Elima,gracilis,gracilis,,,Goniobasis
Elima simplex,Mollusca,Gastropoda,,Pleuroceridae,Elima,Elima,simplex,simplex,,,Goniobasis
Elima sp.,Mollusca,Gastropoda,,Pleuroceridae,Elima,Elima,,sp.,,,
Elima sp.,Mollusca,Gastropoda,,,Elima,Elima,,,,,
Elima sp.,Mollusca,Gastropoda,,Pleuroceridae,Elima,Elima,,sp.,,,
Elima vanuxemiana,Mollusca,Gastropoda,,Pleuroceridae,Elima,Elima,vanuxemiana,vanuxemiana,,,Goniobasis
Elimia adusta,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,adusta,adusta,,,G. [Goniobasis] adusta Anthony
Elimia arachnoidea,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,arachnoidea,arachnoidea,,,G. [Goniobasis] arachnoidea Anthony
Elimia aterina,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,aterina,aterina,,,G. [Goniobasis] aterina Lea
Elimia aterina,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,aterina,aterina,,,
Elimia boykiniana,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,boykiniana,boykiniana,,,G. [Goniobasis] boykiniana Lea
Elimia bulbosa,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,bulbosa,bulbosa,,,G. [Goniobasis] bulbosa Gould
Elimia bullula,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,bullula,bullula,,,G. [Goniobasis] bullula Lea
Elimia caliginosa,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,caliginosa,caliginosa,,,G. [Goniobasis] caliginosa Lea
Elimia carinfera,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,carinfera,carinfera,,,G. [Goniobasis] carinfera Lamarck
Elimia carnifera,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,carnifera,carnifera,,,G. [Goniobasis] carnifera Lamarck
Elimia castanea,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,castanea,castanea,,,G. [Goniobasis] castanea Lea
Elimia castanea,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,castanea,castanea,,,
Elimia catenaria,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,catenaria,catenaria,,,G. [Goniobasis] catenaria Say
Elimia catenaria,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,catenaria,catenaria,,,
Elimia catenoides,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,catenoides,catenoides,,,G. [Goniobasis] catenoides
Elimia cicrumlineata,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,cicrumlineata,cicrumlineata,,,G. [Goniobasis] cicrumlineata Tryon
Elimia cinerea,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,cinerea,cinerea,,,G. [Goniobasis] cinerea Lea
Elimia clausa,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,clausa,cf clausa,,,
Elimia crebicostata,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,crebicostata,crebicostata,,,G
Elimia cumberlandiensis,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,cumberlandiensis,cumberlandiensis,,,G. [Goniobasis] cumberlandiensis Lea
Elimia cylindracea,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,cylindracea,cylindracea,,,G. [Goniobasis] cylindracea Conrad
Elimia cylindracea,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,cylindracea,cylindracea,,,
Elimia decorata,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,decorata,decorata,,,G. [Goniobasis] decorata Anthony
Elimia difficilis,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,difficilis,difficilis,,,G. [Goniobasis] difficilis Lea
Elimia dubiosa,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,dubiosa,dubiosa,,,G. [Goniobasis] dubiosa Lea
Elimia ebenum,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,ebenum,ebenum,,,G. [Goniobasis] ebenum Lea
Elimia gracilior,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,gracilior,gracilior,,,Goniobasis gracilior / Goniobasis gracilor Anthony
Elimia gracilior,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,gracilior,gracilior,,,
Elimia grata,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,grata,grata,,,G. [Goniobasis] grata Anthony
Elimia grata,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,grata,grata,,,
Elimia hallenbeckii,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,hallenbeckii,hallenbeckii,,,G. [Goniobasis] hallenbeckii Lea
Elimia haysiana,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,haysiana,haysiana,,,G. [Goniobasis] haysiana Lea
Elimia haysiana,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,haysiana,haysiana,,,
Elimia hybrida,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,hybrida,hybrida,,,G
Elimia hydei,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,hydei,hydei,,,G. [Goniobasis] hydei Conrad
Elimia hydei,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,hydei,hydei,,,
Elimia impressa,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,impressa,impressa,,,
Elimia inosculata,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,inosculata,inosculata,,,G. [Goniobasis] inosculata Lea
Elimia inosculata,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,inosculata,inosculata,,,
Elimia laeta,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,laeta,laeta,,,G. [Goniobasis] laeta Jay
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,Goniobasis depygis / Goniobasis livescens Menke
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,,,
Elimia livescens depygis,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,depygis,[depygis],Goniobasis
Elimia livescens depygis,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,livescens,livescens,depygis,depygis,
Elimia louisvillensis,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,louisvillensis,louisvillensis,,,G. [Goniobasis] louisvillensis Lea
Elimia nassula,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,nassula,nassula,,,G. [Goniobasis] nassula Conrad
Elimia olivula,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,olivula,olivula,,,G. [Goniobasis] olivula Conrad
Elimia palustra,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,palustra,palustra,,,
Elimia piugrins,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,piugrins,piugrins,,,
Elimia plebeius,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,plebeius,plebeius,,,Goniobasis plebeius Anthony
Elimia porrecta,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,porrecta,porrecta,,,G. [Goniobasis] porrecta Lea
Elimia porrecta,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,porrecta,porrecta,,,
Elimia proxima,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,proxima,proxima,,,G. [Goniobasis] proxima Say
Elimia puchella,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,puchella,puchella,,,G pulchella 
Elimia puchella,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,puchella,puchella,,,
Elimia pudica,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,pudica,pudica,,,G. [Goniobasis] pudica Lea
Elimia pulchella,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,pulchella,pulchella,,,G. [Goniobasis] pulchella Anthony
Elimia pulchella,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,pulchella,pulchella,,,
Elimia pupoidea,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,pupoidea,pupoidea,,,G. [Goniobasis] pupoidea Anthony
Elimia pupoidia,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,pupoidia,pupoidia,,,
Elimia rubicunda,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,rubicunda,rubicunda,,,G. [Goniobasis] rubicunda Lea
Elimia semicarinata,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,semicarinata,semicarinata,,,Goniobasis semicarinata / Goniobasis inornata Say
Elimia semicarinata,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,semicarinata,semicarinata,,,
Elimia semicarinata,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,semicarinata,semicarinata,,,
Elimia semicarinata,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,semicarinata,semicarinata,,,
Elimia semicarinata,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,semicarinata,semicarinata,,,
Elimia semicarinata,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,semicarinata,semicarinata,,,
Elimia semicarinata,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,semicarinata,semicarinata,,,
Elimia semicarinata,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,semicarinata,semicarinata,,,
Elimia sermicarinata,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,sermicarinata,sermicarinata,,,G. [Goniobasis] exilis Haldenman
Elimia silicula,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,silicula,silicula,,,G. [Goniobasis] silicula Gould
Elimia solidula,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,solidula,solidula,,,G. [Goniobasis] solidula Lea
Elimia solidula,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,solidula,solidula,,,
Elimia sp.,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,,,,,
Elimia sp.,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,,,,,
Elimia sp.,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,,,,,
Elimia sp.,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,,,,,
Elimia sp.,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,,,,,
Elimia sp.,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,,,,,
Elimia sp.,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,,,,,
Elimia sp.,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,,,,,
Elimia sp.,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,,,,,
Elimia sp.,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,,,,,
Elimia sp.,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,,,,,
Elimia sp.,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,,,,,
Elimia sp.,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,,,,,
Elimia sp.,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,,,,,
Elimia sp.,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,,,,,
Elimia sp.,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,,,,,
Elimia sp.,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,,,,,
Elimia symmetrica,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,symmetrica,symmetrica,,,G. [Goniobasis] symmetrica Haldeman
Elimia symmetrica,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,symmetrica,symmetrica,,,
Elimia varians,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,varians,varians,,,
Elimia virginica,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,virginica,virginica,,,Goniobasis virginica Say
Elimia virginica,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,virginica,virginica,,,
Elimia virginica,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,virginica,virginica,,,
Elimia virginica,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,virginica,virginica,,,
Elimia virginica,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,virginica,virginica,,,
Elimia virginica,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,virginica,virginica,,,
Elimia virginica,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,virginica,virginica,,,
Elimia virginica,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,virginica,virginica,,,
Elimia virginica,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,virginica,virginica,,,
Elimia virginica,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,virginica,virginica,,,
Elimia virginica multilineata,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,virginica,virginica,multilineata,multilineata,Goniobasis virginica multilineata Say
Elimia virginica multilineata,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,virginica,virginica,multilineata,multilineata,
Elimia virginica multilineata,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,virginica,virginica,multilineata,multilineata,
Elimia warderiana,Mollusca,Gastropoda,,Pleuroceridae,Elimia,Elimia,warderiana,warderiana,,,G. [Goniobasis] warderiana Lea
Eliptio crassidens,Mollusca,Bivalvia,,Unionidae,Eliptio,Eliptio,crassidens,crassidens,,,
Ellipsaria lineolata,Mollusca,Bivalvia,,Unionidae,Ellipsaria,Ellipsaria,lineolata,lineolata,,,Plagiola securis Lea.
Ellipsaria lineolata,Mollusca,Bivalvia,,Unionidae,Ellipsaria,Ellipsaria,lineolata,lineolata,,,
Ellipsaria lineolata,Mollusca,Bivalvia,Unionoida,Unionidae,Ellipsaria,Ellipsaria,lineolata,lineolata,,,
Ellipsaria lineolata,Mollusca,Bivalvia,Unionoida,Unionidae,Ellipsaria,Ellipsaria,lineolata,lineolata,,,
Ellipsaria lineolata,Mollusca,Bivalvia,,Unionidae,Ellipsaria,Ellipsaria,lineolata,lineolata,,,
Ellipsaria lineolata,Mollusca,Bivalvia,,Unionidae,Ellipsaria,Ellipsaria,lineolata,lineolata,,,
Ellipsaria lineolata,Mollusca,Bivalvia,Unionoida,Unionidae,Ellipsaria,Ellipsaria,lineolata,lineolata,,,
Ellipsaria lineolata,Mollusca,Bivalvia,Unionoida,Unionidae,Ellipsaria,Ellipsaria,lineolata,lineolata,,,
Ellipsaria lineolata,Mollusca,Bivalvia,,Unionidae,Ellipsaria,Ellipsaria,lineolata,lineolata,,,
Ellipsaria lineolata,Mollusca,Bivalvia,,Unionidae,Ellipsaria,Ellipsaria,lineolata,lineolata,,,
Ellipsaria lineolata,Mollusca,Bivalvia,,Unionidae,Ellipsaria,Ellipsaria,lineolata,lineolata,,,
Ellipsaria lineolata,Mollusca,Bivalvia,Unionoida,Unionidae,Ellipsaria,Ellipsaria,lineolata,lineolata,,,
Ellipsaria lineolata,Mollusca,Bivalvia,,Unionidae,Ellipsaria,Ellipsaria,lineolata,lineolata,,,
Ellipsaria lineolata,Mollusca,Bivalvia,,Unionidae,Ellipsaria,Ellipsaria,lineolata,lineolata,,,
Ellipsaria lineolata,Mollusca,Bivalvia,,,Ellipsaria,[Ellipsaria],lineolata,[lineolata],,,
Ellipsaria lineolata,Mollusca,Bivalvia,Unionoida,Unionidae,Ellipsaria,Ellipsaria,lineolata,lineolata,,,
Ellipsaria lineolata,Mollusca,Bivalvia,Unionoida,Unionidae,Ellipsaria,Ellipsaria,lineolata,lineolata,,,
Ellipsaria lineolata,Mollusca,Bivalvia,,Unionidae,Ellipsaria,Ellipsaria,lineolata,lineolata,,,
