guid,part_name,ATTRIBUTE_TYPE,ATTRIBUTE_VALUE,ATTRIBUTE_UNITS,DETERMINED_DATE,determiner,remark
CHAS:Bird:2018.1.32,"skin, study",location,RVWD: 302: Orn Cab 22: N,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.34,"skin, study",location,RVWD: 302: Orn Cab 23: F,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.39,"skin, study",location,RVWD: 302: Orn Cab 32: E,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.51,"skin, study",location,RVWD: 302: Orn Cab 23: F,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.52,"skin, study",location,RVWD: 302: Orn Cab 02: M,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.53,"skin, study",location,RVWD: 302: Orn Cab 23: G,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.14,"skin, study",location,RVWD: 302: Orn Cab 02: M,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.46,"skin, study",location,RVWD: 302: Orn Cab 03: C,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.7,"skin, study",location,RVWD: 302: Orn Cab 03: C,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.23,"skin, study",location,RVWD: 302: Orn Cab 23: G,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.24,"skin, study",location,RVWD: 302: Orn Cab 14: G,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.33,"skin, study",location,RVWD: 302: Orn Cab 23: F,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.44,"skin, study",location,RVWD: 302: Orn Cab 32: E,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.48,"skin, study",location,RVWD: 302: Orn Cab 02: G,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.11,"skin, study",location,RVWD: 302: Orn Cab 21: F,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.16,"skin, study",location,RVWD: 302: Orn Cab 02: L,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.17,"skin, study",location,RVWD: 302: Orn Cab 23: M,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.2,"skin, study",location,RVWD: 302: Orn Cab 02: F,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.31,"skin, study",location,RVWD: 302: Orn Cab 21: E,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.36,"skin, study",location,RVWD: 302: Orn Cab 23: F,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.41,"skin, study",location,RVWD: 302: Orn Cab 23: B,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.47,"skin, study",location,RVWD: 302: Orn Cab 21: E,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.25,"skin, study",location,RVWD: 302: Orn Cab 23: G,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.35,"skin, study",location,RVWD: 302: Orn Cab 23: F,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.37,"skin, study",location,RVWD: 302: Orn Cab 23: F,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.4,"skin, study",location,RVWD: 302: Orn Cab 09: H,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.40,"skin, study",location,RVWD: 302: Orn Cab 22: A,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.42,"skin, study",location,RVWD: 302: Orn Cab 03: C,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.43,"skin, study",location,RVWD: 302: Orn Cab 04: A,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.49,"skin, study",location,RVWD: 302: Orn Cab 23: B,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.5,"skin, study",location,RVWD: 302: Orn Cab 21: F,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.55,"skin, study",location,RVWD: 302: Orn Cab 05: H,,2018-06-01,Collin McCord,
