MEDIA_URI,PREVIEW_URI,MIME_TYPE,MEDIA_TYPE,media_license,media_relationship_1,media_related_term_1,media_relationship_2,media_related_term_2,media_relationship_3,media_related_term_3,media_relationship_4,media_related_term_4,media_label_1,media_label_value_1,media_label_2,media_label_value_2,media_label_3,media_label_value_3,media_label_5,media_label_value_5
https://web.corral.tacc.utexas.edu/CAS/20190730/jpg/chas_inv_20697-6.dng.jpg,https://web.corral.tacc.utexas.edu/CAS/20190730/tb/tn_chas_inv_20697-6.dng.jpg,image/jpeg,image,CC BY-NC-SA,created by agent,Kevin Eatinger,associated with project,10002309,associated with project,10002533,shows cataloged_item,CHAS:Inv:20697,title,Holotype of Ocinebra rubra,subject,mollusk,subject,type specimen,made date,2011-08-26
https://web.corral.tacc.utexas.edu/CAS/20190730/jpg/chas_inv_20697-7.dng.jpg,https://web.corral.tacc.utexas.edu/CAS/20190730/tb/tn_chas_inv_20697-7.dng.jpg,image/jpeg,image,CC BY-NC-SA,created by agent,Kevin Eatinger,associated with project,10002309,associated with project,10002533,shows cataloged_item,CHAS:Inv:20697,title,Holotype of Ocinebra rubra,subject,mollusk,subject,type specimen,made date,2011-08-26
https://web.corral.tacc.utexas.edu/CAS/20190730/jpg/chas_inv_20697-8.dng.jpg,https://web.corral.tacc.utexas.edu/CAS/20190730/tb/tn_chas_inv_20697-8.dng.jpg,image/jpeg,image,CC BY-NC-SA,created by agent,Kevin Eatinger,associated with project,10002309,associated with project,10002533,shows cataloged_item,CHAS:Inv:20697,title,Holotype of Ocinebra rubra,subject,mollusk,subject,type specimen,made date,2011-08-26
https://web.corral.tacc.utexas.edu/CAS/20190730/jpg/chas_inv_20698-4.dng.jpg,https://web.corral.tacc.utexas.edu/CAS/20190730/tb/tn_chas_inv_20698-4.dng.jpg,image/jpeg,image,CC BY-NC-SA,created by agent,Kevin Eatinger,associated with project,10002309,associated with project,10002533,shows cataloged_item,CHAS:Inv:20698,title,Holotype of Ocinebra wardiana,subject,mollusk,subject,type specimen,made date,2011-08-26
https://web.corral.tacc.utexas.edu/CAS/20190730/jpg/chas_inv_20698-5.dng.jpg,https://web.corral.tacc.utexas.edu/CAS/20190730/tb/tn_chas_inv_20698-5.dng.jpg,image/jpeg,image,CC BY-NC-SA,created by agent,Kevin Eatinger,associated with project,10002309,associated with project,10002533,shows cataloged_item,CHAS:Inv:20698,title,Holotype of Ocinebra wardiana,subject,mollusk,subject,type specimen,made date,2011-08-26
https://web.corral.tacc.utexas.edu/CAS/20190730/jpg/chas_inv_20698-7.dng.jpg,https://web.corral.tacc.utexas.edu/CAS/20190730/tb/tn_chas_inv_20698-7.dng.jpg,image/jpeg,image,CC BY-NC-SA,created by agent,Kevin Eatinger,associated with project,10002309,associated with project,10002533,shows cataloged_item,CHAS:Inv:20698,title,Holotype of Ocinebra wardiana,subject,mollusk,subject,type specimen,made date,2011-08-26
https://web.corral.tacc.utexas.edu/CAS/20190730/jpg/chas_inv_20698-8.dng.jpg,https://web.corral.tacc.utexas.edu/CAS/20190730/tb/tn_chas_inv_20698-8.dng.jpg,image/jpeg,image,CC BY-NC-SA,created by agent,Kevin Eatinger,associated with project,10002309,associated with project,10002533,shows cataloged_item,CHAS:Inv:20698,title,Holotype of Ocinebra wardiana,subject,mollusk,subject,type specimen,made date,2011-08-26
https://web.corral.tacc.utexas.edu/CAS/20190730/jpg/chas_inv_20698-9.dng.jpg,https://web.corral.tacc.utexas.edu/CAS/20190730/tb/tn_chas_inv_20698-9.dng.jpg,image/jpeg,image,CC BY-NC-SA,created by agent,Kevin Eatinger,associated with project,10002309,associated with project,10002533,shows cataloged_item,CHAS:Inv:20698,title,Holotype of Ocinebra wardiana,subject,mollusk,subject,type specimen,made date,2011-08-26
https://web.corral.tacc.utexas.edu/CAS/20190730/jpg/chas_inv_20699-4.dng.jpg,https://web.corral.tacc.utexas.edu/CAS/20190730/tb/tn_chas_inv_20699-4.dng.jpg,image/jpeg,image,CC BY-NC-SA,created by agent,Kevin Eatinger,associated with project,10002309,associated with project,10002533,shows cataloged_item,CHAS:Inv:20699,title,Syntype of Ocinebra pilsbryana,subject,mollusk,subject,type specimen,made date,2011-08-26
https://web.corral.tacc.utexas.edu/CAS/20190730/jpg/chas_inv_20699-5.dng.jpg,https://web.corral.tacc.utexas.edu/CAS/20190730/tb/tn_chas_inv_20699-5.dng.jpg,image/jpeg,image,CC BY-NC-SA,created by agent,Kevin Eatinger,associated with project,10002309,associated with project,10002533,shows cataloged_item,CHAS:Inv:20699,title,Syntype of Ocinebra pilsbryana,subject,mollusk,subject,type specimen,made date,2011-08-26
